Unnamed: 0,LAC,BAL
First Downs,14,27
Rush-Yds-TDs,12-26-0,38-187-3
Cmp-Att-Yd-TD-INT,22-39-195-1-1,19-27-167-1-2
Sacked-Yards,2-13,3-27
Net Pass Yards,182,140
Total Yards,208,327
Fumbles-Lost,0-0,2-0
Turnovers,1,2
Penalties-Yards,4-35,2-15
Third Down Conv.,3-12,6-11
Fourth Down Conv.,1-4,0-0
Time of Possession,21:53,38:07
