Quarter,Time,Tm,Detail,LAC,BAL
1.0,5:12,Ravens,Latavius Murray 14 yard rush (Justin Tucker kick),0,7
2.0,13:24,Ravens,Le'Veon Bell 2 yard rush (Justin Tucker kick),0,14
,7:03,Ravens,Justin Tucker 52 yard field goal,0,17
,4:04,Chargers,Jared Cook 1 yard pass from Justin Herbert (Tristan Vizcaino kick failed),6,17
3.0,7:39,Ravens,Mark Andrews 9 yard pass from Lamar Jackson (Justin Tucker kick),6,24
,5:02,Ravens,Justin Tucker 39 yard field goal,6,27
4.0,14:55,Ravens,Devonta Freeman 9 yard rush (Justin Tucker kick),6,34
