Quarter,Time,Tm,Detail,LAC,NYJ
2.0,8:55,Chargers,Antonio Gates 3 yard pass from Philip Rivers (Nick Rose kick),7,0
3.0,10:00,Jets,Bilal Powell 57 yard rush (Chandler Catanzaro kick),7,7
,4:57,Chargers,Melvin Gordon 1 yard rush (Nick Rose kick),14,7
