Unnamed: 0,JAX,IND
First Downs,15,17
Rush-Yds-TDs,25-152-0,30-73-0
Cmp-Att-Yd-TD-INT,16-28-122-1-0,21-33-216-2-1
Sacked-Yards,2-8,0-0
Net Pass Yards,114,216
Total Yards,266,289
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,7-38,4-20
Third Down Conv.,5-13,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,23:48,36:12
