Unnamed: 0,HOU,PIT
First Downs,3,24
Rush-Yds-TDs,26-37-0,31-128-0
Cmp-Att-Yd-TD-INT,3-10-33-0-0,31-58-326-0-2
Sacked-Yards,4-23,6-32
Net Pass Yards,10,294
Total Yards,47,422
Fumbles-Lost,3-1,3-3
Turnovers,1,5
Penalties-Yards,1-18,8-57
Third Down Conv.,1-12,8-23
Fourth Down Conv.,0-0,3-5
Time of Possession,20:19,39:41
