Unnamed: 0,NYJ,MIN
First Downs,23,21
Rush-Yds-TDs,24-120-1,29-128-2
Cmp-Att-Yd-TD-INT,31-58-369-0-2,21-35-173-1-0
Sacked-Yards,1-3,2-14
Net Pass Yards,366,159
Total Yards,486,287
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,6-40,3-44
Third Down Conv.,3-16,9-18
Fourth Down Conv.,2-5,1-1
Time of Possession,31:38,28:22
