Unnamed: 0,CLE,HOU
First Downs,18,14
Rush-Yds-TDs,20-56-1,22-76-1
Cmp-Att-Yd-TD-INT,34-46-307-1-2,17-22-280-3-0
Sacked-Yards,4-39,0-0
Net Pass Yards,268,280
Total Yards,324,356
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,4-32,3-20
Third Down Conv.,7-15,2-8
Fourth Down Conv.,0-4,0-0
Time of Possession,35:26,24:34
