Quarter,Time,Down,ToGo,Location,CLE,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CLE 25,0,0,Joe Flacco pass complete short middle to Jerome Ford for 11 yards (tackle by DeAndre Houston-Carson),0.610,1.330
1,14:35,1,10,CLE 36,0,0,Joe Flacco pass complete short left to David Bell for 5 yards (tackle by Denzel Perryman and Desmond King),1.330,1.470
1,13:58,2,5,CLE 41,0,0,Jerome Ford right end for -4 yards (tackle by Denzel Perryman),1.470,0.230
1,13:16,3,9,CLE 37,0,0,Joe Flacco pass complete short right to Kareem Hunt for -6 yards (tackle by Derek Stingley and Khalil Davis),0.230,-1.310
1,12:31,4,15,CLE 31,0,0,"Corey Bojorquez punts 52 yards, fair catch by Desmond King at HOU-17",-1.310,0.060
1,12:25,1,10,HOU 17,0,0,C.J. Stroud pass complete short right to Devin Singletary for 3 yards (tackle by Jeremiah Owusu-Koramoah),-0.060,-0.060
1,11:49,2,7,HOU 20,0,0,C.J. Stroud pass complete short left to Nico Collins for 21 yards (tackle by Juan Thornhill),-0.060,1.660
1,11:08,1,10,HOU 41,0,0,C.J. Stroud pass incomplete deep right intended for Dalton Schultz,1.660,1.120
1,11:03,2,10,HOU 41,0,0,Devin Singletary left tackle for 2 yards (tackle by Myles Garrett and D'Anthony Bell),1.120,0.700
1,10:20,3,8,HOU 43,0,0,"C.J. Stroud pass incomplete short left intended for Noah Brown. Penalty on Myles Garrett: Defensive Offside, 5 yards (accepted) (no play)",0.700,1.360
1,10:14,3,3,HOU 48,0,0,C.J. Stroud pass incomplete deep left intended for Noah Brown (defended by Juan Thornhill) (defended by Denzel Ward),1.360,-0.190
1,10:09,4,3,HOU 48,0,0,"Cameron Johnston punts 46 yards, returned by James Proche for 2 yards (tackle by Kris Boyd and D'Angelo Ross)",-0.190,0.380
1,10:00,1,10,CLE 8,0,0,Kareem Hunt up the middle for 2 yards (tackle by Denzel Perryman and Blake Cashman),-0.380,-0.630
1,9:20,2,8,CLE 10,0,0,Joe Flacco pass incomplete short right intended for Kareem Hunt,-0.630,-1.190
1,9:16,3,8,CLE 10,0,0,Joe Flacco pass complete short right to Kareem Hunt for 3 yards (tackle by Desmond King),-1.190,-2.490
1,8:31,4,5,CLE 13,0,0,Corey Bojorquez punts 32 yards out of bounds,-2.490,-2.590
1,8:23,1,10,CLE 45,0,0,C.J. Stroud pass complete short left to Devin Singletary for 3 yards (tackle by Jeremiah Owusu-Koramoah),2.590,2.450
1,7:49,2,7,CLE 42,0,0,Devin Singletary up the middle for 1 yard (tackle by Jeremiah Owusu-Koramoah),2.450,1.880
1,7:10,3,6,CLE 41,0,0,C.J. Stroud pass complete deep left to Nico Collins for 38 yards (tackle by Greg Newsome),1.880,6.510
1,6:21,,,,,,Timeout #1 by Houston Texans,,
1,6:21,1,3,CLE 3,0,0,C.J. Stroud pass incomplete short middle intended for Andrew Beck (defended by Jordan Elliott),6.510,5.530
1,6:18,2,3,CLE 3,0,0,C.J. Stroud left end for 1 yard (tackle by Martin Emerson),5.530,4.950
1,5:35,3,2,CLE 2,0,0,C.J. Stroud pass incomplete short right intended for Robert Woods (defended by Greg Newsome),4.950,3.250
1,5:32,4,2,CLE 2,0,3,Ka'imi Fairbairn 21 yard field goal good,3.250,3.000
1,5:29,,,HOU 35,0,3,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,5:29,1,10,CLE 25,0,3,Joe Flacco pass complete deep right to David Njoku for 45 yards (tackle by Steven Nelson),0.610,3.580
1,4:45,1,10,HOU 30,0,3,Joe Flacco pass complete short left to David Njoku for 8 yards (tackle by DeAndre Houston-Carson),3.580,4.110
1,4:05,2,2,HOU 22,0,3,Joe Flacco pass complete short right to Amari Cooper for 14 yards,4.110,5.370
1,3:24,,,,,,Timeout #1 by Cleveland Browns,,
1,3:24,1,8,HOU 8,0,3,Kareem Hunt up the middle for 5 yards (tackle by Christian Harris),5.370,5.530
1,2:51,2,3,HOU 3,0,3,Joe Flacco pass complete short left to Harrison Bryant for 2 yards (tackle by DeAndre Houston-Carson),5.530,5.170
1,2:12,3,1,HOU 1,6,3,"Kareem Hunt up the middle for 1 yard, touchdown",5.170,7.000
1,2:09,,,HOU 15,7,3,Riley Patterson kicks extra point good,0.000,0.000
1,2:09,,,CLE 35,7,3,"Riley Patterson kicks off 65 yards, touchback.",0.000,0.610
1,2:09,1,10,HOU 25,7,3,Devin Singletary right end for 29 yards (tackle by Sione Takitaki),0.610,2.520
1,1:33,1,10,CLE 46,7,3,C.J. Stroud pass complete deep right to John Metchie for 27 yards (tackle by Denzel Ward),2.520,4.310
1,0:58,1,10,CLE 19,7,3,Nico Collins left end for 4 yards (tackle by Jeremiah Owusu-Koramoah),4.310,4.350
1,0:18,2,6,CLE 15,7,9,"C.J. Stroud pass complete short left to Nico Collins for 15 yards, touchdown",4.350,7.000
1,0:11,,,CLE 15,7,10,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,0:11,,,HOU 35,7,10,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,0:11,1,10,CLE 25,7,10,Joe Flacco pass complete short middle to Harrison Bryant for 47 yards (tackle by DeAndre Houston-Carson),0.610,3.710
Quarter,Time,Down,ToGo,Location,CLE,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,HOU 28,7,10,Jerome Ford left guard for 4 yards (tackle by Blake Cashman),3.710,3.710
2,14:24,2,6,HOU 24,7,10,Jerome Ford up the middle for 4 yards (tackle by Desmond King and Khalil Davis),3.710,3.530
2,13:52,3,2,HOU 20,7,10,Joe Flacco right guard for 3 yards (tackle by Christian Harris),3.530,4.440
2,13:08,1,10,HOU 17,7,10,Joe Flacco pass complete short right to David Bell for 6 yards (tackle by Jalen Pitre and Christian Harris),4.440,4.890
2,12:23,2,4,HOU 11,13,10,"Joe Flacco pass complete short middle to Kareem Hunt for 11 yards, touchdown",4.890,7.000
2,12:18,,,HOU 15,14,10,Riley Patterson kicks extra point good,0.000,0.000
2,12:18,,,CLE 35,14,10,"Riley Patterson kicks off 55 yards, returned by Dare Ogunbowale for 14 yards (tackle by Matthew Adams)",0.000,0.540
2,12:13,1,10,HOU 24,14,16,"C.J. Stroud pass complete short right to Brevin Jordan for 76 yards, touchdown",0.540,7.000
2,12:00,,,CLE 15,14,17,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,12:00,,,HOU 35,14,17,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
2,12:00,1,10,CLE 25,14,17,Joe Flacco pass incomplete deep right intended for David Njoku (defended by Steven Nelson),0.610,0.060
2,11:54,,,,,,Timeout #2 by Cleveland Browns,,
2,11:54,2,10,CLE 25,14,17,Joe Flacco pass complete short right to Jerome Ford for -4 yards (tackle by Christian Harris),0.060,-1.150
2,11:08,3,14,CLE 21,14,17,Joe Flacco sacked by Derek Barnett for -8 yards,-1.150,-2.490
2,10:27,4,22,CLE 13,14,17,"Corey Bojorquez punts 51 yards, returned by Desmond King for 8 yards (tackle by Jordan Kunaszyk)",-2.490,-1.860
2,10:17,1,10,HOU 44,14,17,Dameon Pierce left tackle for -1 yards (tackle by Jeremiah Owusu-Koramoah and Myles Garrett),1.860,1.180
2,9:40,2,11,HOU 43,14,17,C.J. Stroud pass complete short left to Devin Singletary for -2 yards (tackle by Jeremiah Owusu-Koramoah),1.180,0.230
2,8:55,3,13,HOU 41,14,17,C.J. Stroud pass incomplete deep right intended for Nico Collins,0.230,-0.650
2,8:49,4,13,HOU 41,14,17,"Cameron Johnston punts 49 yards, fair catch by James Proche at CLE-10",-0.650,0.380
2,8:42,1,10,CLE 10,14,17,Jerome Ford up the middle for 7 yards (tackle by Christian Harris and Steven Nelson),-0.380,-0.090
2,7:59,2,3,CLE 17,14,17,Joe Flacco pass complete short left to David Njoku for 5 yards (tackle by Christian Harris),-0.090,0.410
2,7:18,1,10,CLE 22,14,17,Joe Flacco scrambles right end for 2 yards (tackle by Desmond King),0.410,0.140
2,6:32,2,8,CLE 24,14,17,"Joe Flacco pass incomplete deep right Penalty on CLE: Illegal Shift, 5 yards (declined)",0.140,-0.560
2,6:28,3,8,CLE 24,14,17,Joe Flacco pass complete short right to David Njoku for 6 yards (tackle by Steven Nelson),-0.560,-1.370
2,5:52,4,2,CLE 30,14,17,Corey Bojorquez punts 41 yards out of bounds,-1.370,-0.870
2,5:44,1,10,HOU 29,14,17,John Metchie right end for 9 yards (tackle by Denzel Ward),0.870,1.540
2,5:07,2,1,HOU 38,14,17,Devin Singletary left tackle for 6 yards (tackle by Greg Newsome),1.540,1.860
2,4:30,1,10,HOU 44,14,17,C.J. Stroud pass complete short right to Nico Collins for 12 yards (tackle by Duron Harmon),1.860,2.650
2,3:50,1,10,CLE 44,14,17,C.J. Stroud pass complete short left to Xavier Hutchinson for 6 yards (tackle by Martin Emerson and Cameron Mitchell),2.650,2.920
2,3:09,2,4,CLE 38,14,17,Devin Singletary up the middle for -1 yards (tackle by Jeremiah Owusu-Koramoah),2.920,2.080
2,2:29,3,5,CLE 39,14,17,"C.J. Stroud pass incomplete deep left intended for Dalton Schultz. Penalty on Ronnie Hickman: Defensive Pass Interference, 12 yards (accepted) (no play)",2.080,3.780
2,2:25,1,10,CLE 27,14,17,"Devin Singletary left guard for 2 yards (tackle by Tony Fields). Penalty on Shaq Mason: Offensive Holding, 10 yards (accepted)",3.780,3.250
2,2:00,1,18,CLE 35,14,17,Devin Singletary right end for -2 yards (tackle by Dalvin Tomlinson),3.250,1.880
2,1:19,2,20,CLE 37,14,23,"C.J. Stroud pass complete deep left to Dalton Schultz for 37 yards, touchdown",1.880,7.000
2,1:11,,,CLE 15,14,24,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,1:11,,,HOU 35,14,24,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
2,1:11,1,10,CLE 25,14,24,Joe Flacco pass complete deep right to Amari Cooper for 19 yards (tackle by Desmond King and Blake Cashman),0.610,1.860
