Quarter,Time,Tm,Detail,CLE,HOU
1.0,5:29,Texans,Ka'imi Fairbairn 21 yard field goal,0,3
,2:09,Browns,Kareem Hunt 1 yard rush (Riley Patterson kick),7,3
,0:11,Texans,Nico Collins 15 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),7,10
2.0,12:18,Browns,Kareem Hunt 11 yard pass from Joe Flacco (Riley Patterson kick),14,10
,12:00,Texans,Brevin Jordan 76 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),14,17
,1:11,Texans,Dalton Schultz 37 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),14,24
3.0,6:05,Texans,Steven Nelson 82 yard interception return (Ka'imi Fairbairn kick),14,31
,4:06,Texans,Christian Harris 36 yard interception return (Ka'imi Fairbairn kick),14,38
4.0,13:27,Texans,Devin Singletary 19 yard rush (Ka'imi Fairbairn kick),14,45
