Unnamed: 0,GNB,PHI
First Downs,20,18
Rush-Yds-TDs,32-138-0,21-81-1
Cmp-Att-Yd-TD-INT,18-27-180-3-0,20-36-292-1-1
Sacked-Yards,2-9,3-21
Net Pass Yards,171,271
Total Yards,309,352
Fumbles-Lost,4-2,1-0
Turnovers,2,1
Penalties-Yards,2-15,7-50
Third Down Conv.,8-13,5-13
Fourth Down Conv.,0-0,1-1
Time of Possession,32:00,28:00
