Quarter,Time,Tm,Detail,GNB,PHI
1.0,0:08,Packers,Tom Crabtree 7 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
2.0,5:21,Packers,James Jones 9 yard pass from Aaron Rodgers (Mason Crosby kick),14,0
,1:11,Eagles,David Akers 29 yard field goal,14,3
3.0,13:50,Eagles,Jason Avant 24 yard pass from Michael Vick (David Akers kick),14,10
,7:33,Packers,Brandon Jackson 16 yard pass from Aaron Rodgers (Mason Crosby kick),21,10
4.0,4:02,Eagles,Michael Vick 1 yard rush (pass failed),21,16
