Quarter,Time,Down,ToGo,Location,SFO,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Phil Dawson kicks off 66 yards, returned by Richie James for no gain (tackle by Rudy Ford)",0.000,0.280
1,14:54,1,10,SFO 20,0,0,Matt Breida right end for -2 yards (tackle by Josh Bynes),0.280,-0.630
1,14:17,2,12,SFO 18,0,0,Matt Breida left tackle for 6 yards (tackle by Markus Golden),-0.630,-0.430
1,13:33,,,,,,Timeout #1 by San Francisco 49ers,,
1,13:33,3,6,SFO 24,0,0,C.J. Beathard sacked by Markus Golden for -8 yards,-0.430,-2.390
1,12:58,4,14,SFO 16,0,0,"Bradley Pinion punts 48 yards, fair catch by Christian Kirk at ARI-36",-2.390,-1.330
1,12:50,1,10,ARI 36,0,0,David Johnson right tackle for no gain (tackle by Solomon Thomas),1.330,0.790
1,12:08,2,10,ARI 36,0,0,Josh Rosen pass incomplete short right intended for Larry Fitzgerald,0.790,0.100
1,12:04,3,10,ARI 36,0,0,Josh Rosen pass complete short left to Ricky Seals-Jones for -1 yards (tackle by Cassius Marsh),0.100,-1.040
1,11:25,4,11,ARI 35,0,0,"Andy Lee punts 55 yards, returned by Richie James for 15 yards (tackle by Gerald Hodges)",-1.040,-0.610
1,11:14,1,10,SFO 25,0,0,C.J. Beathard pass complete short left to Kendrick Bourne for 8 yards (tackle by Bene Benwikere),0.610,1.140
1,10:43,2,2,SFO 33,0,0,C.J. Beathard pass complete short right to George Kittle for 3 yards (tackle by Benson Mayowa and Deone Bucannon),1.140,1.330
1,10:05,1,10,SFO 36,0,0,Matt Breida up the middle for 3 yards (tackle by Josh Bynes and Rodney Gunter),1.330,1.200
1,9:24,2,7,SFO 39,0,0,C.J. Beathard up the middle for 1 yard (tackle by Benson Mayowa),1.200,0.630
1,8:36,3,6,SFO 40,0,0,"C.J. Beathard sacked by Chandler Jones for no gain. Penalty on Chandler Jones: Defensive Offside, 5 yards (no play)",0.630,1.290
1,8:18,3,1,SFO 45,0,0,Kyle Juszczyk up the middle for 4 yards (tackle by Deone Bucannon),1.290,2.190
1,7:35,1,10,SFO 49,0,0,"Penalty on George Kittle: False Start, 5 yards (no play)",2.190,1.860
1,7:08,1,15,SFO 44,0,0,Matt Breida up the middle for 10 yards (tackle by Bene Benwikere),1.860,2.320
1,6:31,2,5,ARI 46,0,0,Matt Breida right tackle for 9 yards (tackle by Josh Bynes),2.320,3.120
1,6:03,1,10,ARI 37,0,0,C.J. Beathard sacked by Antoine Bethea for -9 yards,3.120,1.360
1,5:20,2,19,ARI 46,0,0,C.J. Beathard pass incomplete short left intended for George Kittle,1.360,0.700
1,5:16,3,19,ARI 46,0,0,C.J. Beathard pass incomplete short left intended for Kendrick Bourne,0.700,0.200
1,5:11,4,19,ARI 46,0,0,"Bradley Pinion punts 41 yards, fair catch by Christian Kirk at ARI-5",0.200,0.380
1,5:04,1,10,ARI 5,0,0,Josh Rosen pass incomplete deep middle intended for Larry Fitzgerald,-0.380,-0.780
1,4:58,2,10,ARI 5,0,0,David Johnson up the middle for 3 yards (tackle by Fred Warner),-0.780,-1.070
1,4:17,3,7,ARI 8,2,0,"Josh Rosen pass incomplete short middle. Penalty on Josh Rosen: Intentional Grounding, 8 yards",-1.070,2.000
1,4:07,,,ARI 20,2,0,"Andy Lee kicks off 68 yards, returned by Richie James for no gain (tackle by Eddie Pleasant)",0.000,1.800
1,4:00,1,10,SFO 43,2,0,Matt Breida left tackle for 2 yards (tackle by Markus Golden),1.800,1.520
1,3:25,2,8,SFO 45,2,0,Matt Breida right tackle for 6 yards (tackle by Deone Bucannon),1.520,1.620
1,2:40,3,2,ARI 49,2,0,C.J. Beathard sacked by Zach Moore for -5 yards,1.620,-0.320
1,2:03,4,7,SFO 46,2,0,"Bradley Pinion punts 45 yards, fair catch by Christian Kirk at ARI-9",-0.320,0.380
1,1:56,1,10,ARI 9,2,0,"Penalty on John Wetzel: False Start, 4 yards (no play)",-0.380,-0.530
1,1:56,1,14,ARI 5,2,0,David Johnson up the middle for 7 yards (tackle by Fred Warner),-0.530,-0.560
1,1:22,2,7,ARI 12,2,0,David Johnson left tackle for 8 yards (tackle by Jimmie Ward),-0.560,0.280
1,0:43,1,10,ARI 20,2,0,Josh Rosen pass complete short left to Chase Edmonds for 12 yards (tackle by Earl Mitchell),0.280,1.070
Quarter,Time,Down,ToGo,Location,SFO,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ARI 32,2,0,Josh Rosen pass complete short left to Larry Fitzgerald for no gain (tackle by Reuben Foster),1.070,0.530
2,14:18,2,10,ARI 32,2,0,David Johnson up the middle for 3 yards (tackle by Sheldon Day),0.530,0.230
2,13:38,3,7,ARI 35,2,0,"Josh Rosen pass incomplete deep right intended for JJ Nelson. Penalty on Reuben Foster: Defensive Pass Interference, 26 yards (no play)",0.230,2.980
2,13:32,1,10,SFO 39,2,0,Josh Rosen pass complete short middle to Chad Williams for 14 yards (tackle by Richard Sherman),2.980,3.910
2,12:46,1,10,SFO 25,2,0,Josh Rosen sacked by Ronald Blair for -3 yards,3.910,2.960
2,12:05,2,13,SFO 28,2,0,Josh Rosen pass complete short left to David Johnson for 15 yards (tackle by Jaquiski Tartt),2.960,4.710
2,11:17,1,10,SFO 13,2,0,Josh Rosen pass complete short left to Larry Fitzgerald for 5 yards (tackle by Ahkello Witherspoon),4.710,4.960
2,10:39,2,5,SFO 8,2,0,Josh Rosen pass incomplete short right intended for Larry Fitzgerald,4.960,4.100
2,10:34,3,5,SFO 8,2,0,Josh Rosen pass incomplete short middle,4.100,2.970
2,10:27,4,5,SFO 8,2,0,"Penalty on ARI: Delay of Game, 5 yards (no play)",2.970,2.570
2,10:27,4,10,SFO 13,2,3,Phil Dawson 31 yard field goal good,2.570,3.000
2,10:23,,,ARI 35,2,3,"Phil Dawson kicks off 65 yards, touchback.",0.000,0.610
