Quarter,Time,Tm,Detail,SFO,ARI
1.0,4:07,49ers,"Safety, Josh Rosen penalty in end zone",2,0
2.0,10:23,Cardinals,Phil Dawson 31 yard field goal,2,3
,4:32,49ers,Robbie Gould 27 yard field goal,5,3
3.0,6:22,49ers,Marquise Goodwin 55 yard pass from C.J. Beathard (Robbie Gould kick),12,3
4.0,13:33,49ers,Robbie Gould 20 yard field goal,15,3
,11:06,Cardinals,Larry Fitzgerald 13 yard pass from Josh Rosen (Phil Dawson kick),15,10
,0:34,Cardinals,Christian Kirk 9 yard pass from Josh Rosen (Larry Fitzgerald pass from Josh Rosen),15,18
