Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Matt Breida,SFO,16,42,0,1,7,0.4,35,2.2,1,16.0
Alfred Morris,SFO,6,28,0,1,21,3.5,7,1.2,0,
C.J. Beathard,SFO,5,9,0,1,3,0.6,6,1.2,0,
Kyle Juszczyk,SFO,2,10,0,1,7,3.5,3,1.5,0,
Raheem Mostert,SFO,2,18,0,1,11,5.5,7,3.5,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
David Johnson,ARI,16,59,0,2,34,2.1,25,1.6,1,16.0
Chase Edmonds,ARI,2,9,0,0,4,2.0,5,2.5,0,
Josh Rosen,ARI,2,12,0,1,8,4.0,4,2.0,0,
JJ Nelson,ARI,1,8,0,,5,5.0,3,3.0,0,
