Quarter,Time,Down,ToGo,Location,IND,NYG,Detail,EPB,EPA
2,10:38,,,NYG 35,3,7,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
2,10:38,1,10,IND 25,3,7,"Nick Foles pass complete short right to Jelani Woods for 2 yards (tackle by Jaylon Smith). Penalty on Braden Smith: Offensive Holding, 10 yards (accepted)",0.610,-0.150
2,10:14,1,18,IND 17,3,7,Nick Foles pass incomplete short right intended for Alec Pierce,-0.150,-1.150
2,10:09,2,18,IND 17,3,7,Zack Moss up the middle for 9 yards (tackle by Xavier McKinney and Landon Collins),-1.150,-0.490
2,9:27,3,9,IND 26,3,7,Nick Foles pass incomplete deep left intended for Michael Pittman,-0.490,-1.630
2,9:20,4,9,IND 26,3,7,Matt Haack punts 38 yards downed by JoJo Domann,-1.630,-1.330
2,9:10,1,10,NYG 36,3,7,Daniel Jones pass incomplete short left intended for Saquon Barkley,1.330,0.790
2,9:06,2,10,NYG 36,3,7,"Daniel Jones pass complete short left to Richie James for no gain (tackle by Dallis Flowers and Zaire Franklin). Penalty on Dallis Flowers: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.790,1.660
2,8:43,1,10,NYG 41,3,7,Saquon Barkley right tackle for -1 yards (tackle by Bobby Okereke and Byron Cowart),1.660,0.990
2,8:11,2,11,NYG 40,3,7,Daniel Jones pass complete short left to Isaiah Hodgins for 5 yards (tackle by Bobby Okereke),0.990,0.960
2,7:33,3,6,NYG 45,3,7,Daniel Jones pass complete short middle to Daniel Bellinger for 10 yards (tackle by Rodney Thomas),0.960,2.590
2,6:55,1,10,IND 45,3,7,Saquon Barkley left tackle for 1 yard (tackle by Rodney Thomas and Zaire Franklin),2.590,2.180
2,6:23,2,9,IND 44,3,7,Daniel Jones scrambles left end for 13 yards,2.180,3.510
2,5:41,1,10,IND 31,3,7,Daniel Jones pass complete deep left to Daniel Bellinger for 24 yards (tackle by Stephon Gilmore),3.510,5.600
2,5:02,1,7,IND 7,3,7,Saquon Barkley up the middle for 1 yard (tackle by DeForest Buckner),5.600,4.950
2,4:26,2,6,IND 6,3,13,"Daniel Jones pass complete short right to Isaiah Hodgins for 6 yards, touchdown",4.950,7.000
2,4:21,,,IND 15,3,14,Graham Gano kicks extra point good,0.000,0.000
2,4:21,,,NYG 35,3,14,"Graham Gano kicks off 68 yards, returned by Dallis Flowers for 28 yards (tackle by Carter Coughlin)",0.000,0.610
2,4:17,1,10,IND 25,3,14,Jordan Wilkins up the middle for 3 yards (tackle by Julian Love),0.610,0.470
2,3:33,2,7,IND 28,3,14,Nick Foles pass complete short right to Jordan Wilkins for 10 yards (tackle by Julian Love),0.470,1.470
2,2:43,1,10,IND 38,3,14,"Jordan Wilkins right end for 4 yards (tackle by Dexter Lawrence). Penalty on Dexter Lawrence: Defensive Holding, 5 yards (accepted)",1.470,2.060
2,2:27,1,10,IND 47,3,14,Parris Campbell left end for 1 yard (tackle by Darnay Holmes),2.060,1.650
2,2:00,2,9,IND 48,3,14,Nick Foles pass complete short right to Alec Pierce for -2 yards (tackle by Darnay Holmes),1.650,0.700
2,1:54,,,,,,Timeout #1 by New York Giants,,
2,1:54,3,11,IND 46,3,20,"Nick Foles pass short right intended for Parris Campbell is intercepted by Landon Collins at NYG-48 and returned for 52 yards, touchdown",0.700,-7.000
2,1:45,,,IND 15,3,21,Graham Gano kicks extra point good,0.000,0.000
2,1:45,,,NYG 35,3,21,"Graham Gano kicks off 70 yards, returned by Dallis Flowers for 36 yards (tackle by Graham Gano)",0.000,1.000
2,1:39,1,10,IND 31,3,21,Nick Foles pass complete short middle to Jelani Woods for 11 yards (tackle by Nick McCloud and Xavier McKinney),1.000,1.730
2,1:13,1,10,IND 42,3,21,Nick Foles pass complete short left to Jelani Woods for 6 yards (tackle by Tony Jefferson),1.730,2.000
2,0:58,2,4,IND 48,3,21,Nick Foles pass incomplete short middle intended for Parris Campbell,2.000,1.290
2,0:53,3,4,IND 48,3,21,Nick Foles sacked by Kayvon Thibodeaux for -9 yards,1.290,-0.780
2,0:50,,,,,,Timeout #2 by Indianapolis Colts,,
2,0:50,4,13,IND 39,3,21,Matt Haack punts 22 yards out of bounds,-0.780,-1.530
2,0:46,1,10,NYG 39,3,21,Daniel Jones pass complete short right to Darius Slayton for 9 yards (tackle by Zaire Franklin),1.530,2.200
2,0:40,2,1,NYG 48,3,21,Daniel Jones pass complete short right to Richie James for 3 yards,2.200,2.320
2,0:37,1,10,IND 49,3,21,Daniel Jones right guard for 7 yards (tackle by Bobby Okereke),2.320,2.730
2,0:31,2,3,IND 42,3,21,Daniel Jones pass complete short right to Saquon Barkley for -2 yards (tackle by Rodney McLeod),2.730,1.750
2,0:27,3,5,IND 44,3,21,Daniel Jones scrambles left end for 7 yards (tackle by DeForest Buckner),1.750,3.120
2,0:20,1,10,IND 37,3,21,Daniel Jones pass complete short middle to Isaiah Hodgins for 19 yards (tackle by Zaire Franklin and Bobby Okereke),3.120,4.370
2,0:14,,,,,,Timeout #2 by New York Giants,,
2,0:14,1,10,IND 18,3,21,Daniel Jones pass incomplete short middle intended for Saquon Barkley (defended by Zaire Franklin),4.370,3.800
2,0:10,2,10,IND 18,3,21,Daniel Jones pass incomplete deep right,3.800,3.050
2,0:05,3,10,IND 18,3,24,Graham Gano 36 yard field goal good,3.050,3.000
Quarter,Time,Down,ToGo,Location,IND,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 35,3,24,"Chase McLaughlin kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NYG 25,3,24,"Daniel Jones pass complete short left to Darius Slayton for 5 yards. Darius Slayton fumbles (forced by Bobby Okereke), recovered by Rodney McLeod at NYG-30 (tackle by Bobby Okereke)",0.610,-3.580
3,14:53,1,10,NYG 30,3,24,Zack Moss right end for 1 yard (tackle by Dexter Lawrence and Micah McFadden),3.580,3.170
3,14:14,2,9,NYG 29,3,24,Sam Ehlinger pass incomplete short middle intended for Mo Alie-Cox,3.170,2.480
3,14:09,3,9,NYG 29,3,24,Sam Ehlinger pass incomplete short right intended for Parris Campbell (defended by Kayvon Thibodeaux),2.480,1.500
3,14:04,4,9,NYG 29,3,24,Chase McLaughlin 48 yard field goal no good,1.500,-1.470
3,13:59,1,10,NYG 38,3,24,Saquon Barkley left guard for no gain (tackle by DeForest Buckner),1.470,0.920
3,13:27,2,10,NYG 38,3,24,Daniel Jones pass complete short middle to Richie James for 28 yards (tackle by Rodney Thomas),0.920,3.310
3,12:41,1,10,IND 34,3,24,Daniel Jones pass complete short left to Daniel Bellinger for 8 yards (tackle by Zaire Franklin),3.310,3.850
3,12:03,2,2,IND 26,3,24,Daniel Jones left end for 3 yards (tackle by Stephon Gilmore),3.850,4.040
3,11:25,1,10,IND 23,3,24,Daniel Jones pass complete short left to Richie James for 5 yards (tackle by Bobby Okereke),4.040,4.210
3,10:46,2,5,IND 18,3,30,"Daniel Jones left end for 18 yards, touchdown",4.210,7.000
3,10:40,,,IND 15,3,31,Graham Gano kicks extra point good,0.000,0.000
3,10:40,,,NYG 35,3,31,"Graham Gano kicks off 69 yards, returned by Dallis Flowers for 36 yards (tackle by Tony Jefferson)",0.000,1.070
3,10:34,1,10,IND 32,3,31,Deon Jackson up the middle for 3 yards (tackle by Jaylon Smith),1.070,0.930
3,9:55,2,7,IND 35,3,31,Deon Jackson right guard for 4 yards (tackle by Xavier McKinney),0.930,0.760
3,9:30,3,3,IND 39,3,31,Sam Ehlinger pass complete short middle to Michael Pittman for 9 yards (tackle by Julian Love and Jihad Ward),0.760,2.130
3,9:00,1,10,IND 48,3,31,Deon Jackson up the middle for 3 yards (tackle by Tomon Fox and Micah McFadden),2.130,1.990
3,8:32,2,7,NYG 49,3,31,Sam Ehlinger left end for 12 yards (tackle by Xavier McKinney),1.990,3.120
3,7:53,1,10,NYG 37,3,31,Sam Ehlinger pass incomplete deep right intended for Mike Strachan (defended by Xavier McKinney),3.120,2.570
3,7:45,2,10,NYG 37,3,31,Zack Moss left guard for 8 yards (tackle by Kayvon Thibodeaux and Xavier McKinney),2.570,2.940
3,7:12,3,2,NYG 29,3,31,Sam Ehlinger pass complete short right to Michael Pittman for 1 yard (tackle by Darnay Holmes),2.940,1.720
3,6:42,4,1,NYG 28,3,31,Zack Moss right guard for 6 yards (tackle by Jaylon Smith and Xavier McKinney),1.720,4.110
3,6:11,1,10,NYG 22,3,31,Zack Moss left tackle for 2 yards (tackle by Dexter Lawrence and Jihad Ward),4.110,3.830
3,5:31,2,8,NYG 20,3,31,Sam Ehlinger sacked by Dexter Lawrence for -8 yards,3.830,2.080
3,4:51,3,16,NYG 28,3,31,Sam Ehlinger pass complete short right to Alec Pierce for 10 yards (tackle by Fabian Moreau),2.080,2.270
3,4:08,4,6,NYG 18,3,31,Sam Ehlinger pass complete short middle to Michael Pittman for 7 yards (tackle by Fabian Moreau),2.270,4.840
3,3:45,1,10,NYG 11,3,31,Zack Moss left tackle for 2 yards (tackle by Jihad Ward and Jaylon Smith),4.840,4.510
3,3:02,2,8,NYG 9,3,31,Sam Ehlinger pass complete short right to Michael Pittman for 3 yards (tackle by Fabian Moreau),4.510,4.210
3,2:13,3,5,NYG 6,9,31,"Sam Ehlinger pass complete short middle to Michael Pittman for 6 yards, touchdown",4.210,7.000
3,2:08,,,NYG 15,10,31,Chase McLaughlin kicks extra point good,0.000,0.000
3,2:08,,,IND 35,10,31,"Chase McLaughlin kicks off 58 yards, returned by Gary Brightwell for 23 yards (tackle by Segun Olubi and Nick Cross)",0.000,0.940
3,2:00,1,10,NYG 30,10,31,Saquon Barkley up the middle for 12 yards (tackle by Rodney McLeod),0.940,1.730
3,1:19,1,10,NYG 42,10,31,Daniel Jones right end for 25 yards (tackle by Rodney Thomas),1.730,3.380
3,0:34,1,10,IND 33,10,31,Saquon Barkley left guard for 6 yards (tackle by Rodney McLeod and Bobby Okereke),3.380,3.650
Quarter,Time,Down,ToGo,Location,IND,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,IND 27,10,31,Saquon Barkley up the middle for 1 yard (tackle by DeForest Buckner),3.650,3.070
4,14:18,3,3,IND 26,10,31,Daniel Jones left end for no gain (tackle by Bobby Okereke),3.070,1.840
4,13:24,4,3,IND 26,10,31,"Graham Gano yard field goal good. Penalty on Tony Brown: Defensive Offside, 5 yards (accepted) (no play)",1.840,4.170
4,13:19,1,10,IND 21,10,31,"Daniel Jones scrambles right end for 1 yard (tackle by Bobby Okereke). Penalty on Bobby Okereke: Unnecessary Roughness / Defense, 10 yards (accepted)",4.170,4.910
4,12:48,1,10,IND 10,10,31,Matt Breida up the middle for no gain (tackle by Grover Stewart),4.910,4.190
4,12:04,2,10,IND 10,10,37,"Daniel Jones left end for 10 yards, touchdown",4.190,7.000
4,11:57,,,IND 15,10,38,Graham Gano kicks extra point good,0.000,0.000
4,11:57,,,NYG 35,10,38,"Graham Gano kicks off 58 yards, returned by Nikola Kalinic for 15 yards (tackle by Micah McFadden). Penalty on Deon Jackson: Offensive Holding, 10 yards (accepted)",0.000,-0.350
4,11:52,1,10,IND 12,10,38,Zack Moss left end for 3 yards (tackle by Landon Collins),-0.350,-0.500
4,11:11,2,7,IND 15,10,38,Zack Moss right guard for 12 yards (tackle by Jaylon Smith),-0.500,0.740
4,10:33,1,10,IND 27,10,38,Sam Ehlinger pass complete short middle to Michael Pittman for 15 yards (tackle by Jason Pinnock and Tomon Fox),0.740,1.730
4,9:59,1,10,IND 42,10,38,"Jordan Wilkins left guard for 7 yards (tackle by Julian Love and Fabian Moreau). Penalty on Will Fries: Offensive Holding, 10 yards (accepted)",1.730,1.530
4,9:29,1,13,IND 39,10,38,Sam Ehlinger pass incomplete short right intended for Jelani Woods,1.530,0.780
4,9:25,2,13,IND 39,10,38,Sam Ehlinger pass incomplete short right intended for Alec Pierce (defended by Nick McCloud),0.780,0.100
4,9:21,3,13,IND 39,10,38,Sam Ehlinger pass complete short right to Parris Campbell for 2 yards (tackle by Tony Jefferson and Zyon Gilbert),0.100,-0.650
4,8:42,4,11,IND 41,10,38,"Matt Haack punts 45 yards, fair catch by Richie James at NYG-14",-0.650,0.280
4,8:36,1,10,NYG 14,10,38,Matt Breida left end for 6 yards (tackle by Bobby Okereke and Kwity Paye),-0.280,0.150
4,7:50,2,4,NYG 20,10,38,Gary Brightwell up the middle for 6 yards (tackle by Dayo Odeyingbo),0.150,0.670
4,7:07,1,10,NYG 26,10,38,Gary Brightwell left tackle for 2 yards (tackle by Dallis Flowers),0.670,0.400
4,6:23,2,8,NYG 28,10,38,Matt Breida right end for 16 yards (tackle by Stephon Gilmore),0.400,1.860
4,5:38,1,10,NYG 44,10,38,Gary Brightwell left guard for 3 yards (tackle by Zaire Franklin and DeForest Buckner),1.860,1.720
4,4:57,2,7,NYG 47,10,38,Matt Breida right end for 18 yards (tackle by Bobby Okereke),1.720,3.250
4,4:10,1,10,IND 35,10,38,Gary Brightwell left guard for no gain (tackle by Bobby Okereke),3.250,2.700
4,3:27,2,10,IND 35,10,38,Matt Breida right tackle for 5 yards (tackle by Zaire Franklin),2.700,2.680
4,2:47,3,5,IND 30,10,38,Matt Breida left end for 3 yards (tackle by Bobby Okereke),2.680,1.800
4,2:00,4,2,IND 27,10,38,Gary Brightwell right guard for -2 yards (tackle by E.J. Speed),1.800,-0.870
4,1:56,1,10,IND 29,10,38,Sam Ehlinger pass complete short left to Alec Pierce for 7 yards (tackle by Zyon Gilbert),0.870,1.270
4,1:19,2,3,IND 36,10,38,Zack Moss left end for 5 yards (tackle by Carter Coughlin and Justin Ellis),1.270,1.660
4,0:37,1,10,IND 41,10,38,Zack Moss left guard for 5 yards (tackle by Henry Mondeaux and Justin Ellis),1.660,1.800
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
