Unnamed: 0,IND,NYG
First Downs,14,26
Rush-Yds-TDs,27-128-0,37-217-2
Cmp-Att-Yd-TD-INT,17-27-141-1-1,19-24-177-2-0
Sacked-Yards,2-17,0-0
Net Pass Yards,124,177
Total Yards,252,394
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,7-60,3-20
Third Down Conv.,3-12,4-7
Fourth Down Conv.,2-2,0-1
Time of Possession,28:24,31:36
