Unnamed: 0,CAR,ARI
First Downs,13,23
Rush-Yds-TDs,44-270-2,17-94-1
Cmp-Att-Yd-TD-INT,7-15-90-1-0,27-46-242-2-5
Sacked-Yards,1-5,2-16
Net Pass Yards,85,226
Total Yards,355,320
Fumbles-Lost,0-0,2-1
Turnovers,0,6
Penalties-Yards,7-72,5-35
Third Down Conv.,8-16,4-10
Fourth Down Conv.,0-0,1-2
Time of Possession,32:58,27:02
