Unnamed: 0,BAL,JAX
First Downs,12,24
Rush-Yds-TDs,25-134-0,35-166-1
Cmp-Att-Yd-TD-INT,14-27-64-1-2,20-33-244-4-0
Sacked-Yards,2-12,0-0
Net Pass Yards,52,244
Total Yards,186,410
Fumbles-Lost,1-1,0-0
Turnovers,3,0
Penalties-Yards,10-88,9-70
Third Down Conv.,3-11,3-12
Fourth Down Conv.,0-1,2-2
Time of Possession,25:57,34:03
