Quarter,Time,Tm,Detail,BAL,JAX
1.0,9:05,Jaguars,Jason Myers 23 yard field goal,0,3
,3:32,Jaguars,Marcedes Lewis 17 yard pass from Blake Bortles (Jason Myers kick),0,10
2.0,10:49,Jaguars,Jason Myers 45 yard field goal,0,13
,4:55,Jaguars,Allen Hurns 5 yard pass from Blake Bortles (Jason Myers kick),0,20
,0:38,Jaguars,Jason Myers 29 yard field goal,0,23
3.0,9:42,Jaguars,Marcedes Lewis 30 yard pass from Blake Bortles (Jason Myers kick),0,30
,7:48,Jaguars,Marcedes Lewis 4 yard pass from Blake Bortles (Jason Myers kick),0,37
4.0,14:56,Jaguars,Leonard Fournette 3 yard rush (Jason Myers kick),0,44
,3:24,Ravens,Ben Watson 6 yard pass from Ryan Mallett (Justin Tucker kick),7,44
