Quarter,Time,Tm,Detail,MIN,DET
1.0,11:56,Lions,Aveion Cason 23 yard pass from Mike McMahon (Jason Hanson kick),0,7
,3:53,Vikings,Daunte Culpepper 2 yard rush (Gary Anderson kick),7,7
,3:00,Vikings,Corey Chavous 43 yard interception return (Gary Anderson kick),14,7
,0:08,Lions,Bill Schroeder 16 yard pass from Mike McMahon (Jason Hanson kick),14,14
2.0,11:49,Vikings,Michael Bennett 2 yard rush (Gary Anderson kick),21,14
,5:54,Vikings,Kelly Campbell 10 yard pass from Daunte Culpepper (Gary Anderson kick),28,14
,1:50,Lions,Jason Hanson 37 yard field goal,28,17
3.0,5:41,Lions,Robert Porcher defensive fumble recovery in end zone (Jason Hanson kick),28,24
,0:58,Vikings,Kelly Campbell 27 yard pass from Daunte Culpepper (Gary Anderson kick),35,24
4.0,10:56,Lions,Todd Lyght 75 yard blocked field goal return (pass failed),35,30
,1:09,Vikings,Gary Anderson 18 yard field goal,38,30
,0:13,Lions,Scotty Anderson 20 yard pass from Mike McMahon (pass failed),38,36
