Unnamed: 0,MIN,DET
First Downs,24,20
Rush-Yds-TDs,34-154-2,20-93-0
Cmp-Att-Yd-TD-INT,21-29-312-2-1,19-44-293-3-3
Sacked-Yards,3-16,0-0
Net Pass Yards,296,293
Total Yards,450,386
Fumbles-Lost,3-1,1-0
Turnovers,2,3
Penalties-Yards,7-79,6-60
Third Down Conv.,7-12,7-14
Fourth Down Conv.,1-1,1-2
Time of Possession,34:31,25:29
