Quarter,Time,Down,ToGo,Location,IND,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,IND 25,0,0,Matt Ryan pass incomplete short right intended for Nyheim Hines,0.610,0.060
1,14:57,2,10,IND 25,0,0,Nyheim Hines left tackle for 3 yards (tackle by Bradley Chubb and Kareem Jackson),0.060,-0.230
1,14:14,3,7,IND 28,0,0,Matt Ryan pass complete short left to Nyheim Hines for 5 yards (tackle by D.J. Jones and Nik Bonitto),-0.230,-1.180
1,13:48,4,2,IND 33,0,0,Matt Haack punts 31 yards downed by Deon Jackson,-1.180,-1.330
1,13:37,1,10,DEN 36,0,0,Melvin Gordon right guard for 3 yards (tackle by DeForest Buckner and E.J. Speed),1.330,1.200
1,13:24,2,7,DEN 39,0,0,Russell Wilson pass complete short middle to Courtland Sutton for 5 yards (tackle by Rodney McLeod),1.200,1.160
1,12:43,3,2,DEN 44,0,0,Russell Wilson pass complete short right to Jerry Jeudy for 11 yards (tackle by Kenny Moore),1.160,2.590
1,12:03,1,10,IND 45,0,0,Russell Wilson pass complete short right to Melvin Gordon for 14 yards (tackle by Bobby Okereke),2.590,3.510
1,11:28,1,10,IND 31,0,0,Melvin Gordon right guard for no gain (tackle by Byron Cowart),3.510,2.970
1,10:57,2,10,IND 31,0,0,Russell Wilson scrambles left end for 18 yards (tackle by Rodney McLeod),2.970,4.710
1,10:18,1,10,IND 13,0,0,Russell Wilson pass incomplete short middle intended for Courtland Sutton,4.710,4.050
1,10:12,2,10,IND 13,0,0,Melvin Gordon right end for -2 yards (tackle by Kenny Moore),4.050,3.030
1,9:37,3,12,IND 15,0,0,Russell Wilson pass incomplete short middle intended for Jerry Jeudy (defended by Zaire Franklin),3.030,2.440
1,9:32,4,12,IND 15,0,3,Brandon McManus 33 yard field goal good,2.440,3.000
1,9:28,,,DEN 35,0,3,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
1,9:28,1,10,IND 25,0,3,Matt Ryan pass complete short left to Deon Jackson for 21 yards (tackle by Mike Purcell),0.610,1.990
1,8:44,1,10,IND 46,0,3,Deon Jackson right guard for 5 yards (tackle by Matt Henningsen and Josey Jewell),1.990,2.130
1,7:59,2,5,DEN 49,0,3,Matt Ryan sacked by D.J. Jones for -6 yards,2.130,0.630
1,7:16,3,11,IND 45,0,3,Matt Ryan pass complete short right to Deon Jackson for 4 yards (tackle by Josey Jewell and Patrick Surtain),0.630,-0.130
1,6:33,4,7,IND 49,0,3,"Matt Haack punts 37 yards, fair catch by Montrell Washington at DEN-14",-0.130,0.280
1,6:25,1,10,DEN 14,0,3,Melvin Gordon right tackle for no gain (tackle by Kenny Moore),-0.280,-0.750
1,5:56,2,10,DEN 14,0,3,Russell Wilson pass incomplete short middle intended for Eric Saubert,-0.750,-1.400
1,5:55,3,10,DEN 14,0,3,Russell Wilson sacked by Yannick Ngakoue for -4 yards,-1.400,-2.490
1,5:23,4,14,DEN 10,0,3,"Corliss Waitman punts 50 yards, fair catch by Isaiah Rodgers at IND-40",-2.490,-1.600
1,5:15,1,10,IND 40,0,3,Matt Ryan pass incomplete short right intended for Michael Pittman (defended by Caden Sterns),1.600,1.050
1,5:09,2,10,IND 40,0,3,Deon Jackson left guard for 1 yard (tackle by Josey Jewell and Mike Purcell),1.050,0.500
1,4:26,3,9,IND 41,0,3,"Matt Ryan pass incomplete short right intended for Kylen Granson. Penalty on Bernhard Raimann: Offensive Holding, 10 yards (declined)",0.500,-0.650
1,4:22,4,9,IND 41,0,3,"Matt Haack punts 49 yards, returned by Montrell Washington for 3 yards (tackle by Ashton Dulin)",-0.650,0.320
1,4:12,1,10,DEN 13,0,3,Mike Boone left tackle for 3 yards (tackle by Ben Banogu and DeForest Buckner),-0.320,-0.440
