Unnamed: 0,IND,DEN
First Downs,19,18
Rush-Yds-TDs,26-106-0,28-125-0
Cmp-Att-Yd-TD-INT,26-41-251-0-2,21-39-274-0-2
Sacked-Yards,6-51,4-24
Net Pass Yards,200,250
Total Yards,306,375
Fumbles-Lost,4-0,2-0
Turnovers,2,2
Penalties-Yards,8-64,7-49
Third Down Conv.,4-16,2-15
Fourth Down Conv.,0-0,1-2
Time of Possession,34:48,32:39
