#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:58,DEN 29,4,1:20,41,Fumble
2,1,9:33,DEN 20,3,1:02,1,Punt
3,1,5:04,DEN 16,6,3:26,30,Punt
4,2,12:31,DEN 25,3,1:33,-12,Punt
5,2,8:15,DEN 21,7,3:54,11,Punt
6,2,0:19,DEN 25,1,0:19,-1,End of Half
7,3,15:00,DEN 25,10,4:26,75,Touchdown
8,3,7:01,DEN 25,12,6:18,70,Field Goal
9,4,12:12,DEN 25,5,1:13,19,Punt
10,4,9:18,DEN 38,8,2:50,62,Touchdown
11,4,2:21,DEN 21,4,2:21,26,End of Game
