Unnamed: 0,DEN,DET
First Downs,20,29
Rush-Yds-TDs,28-83-1,28-185-1
Cmp-Att-Yd-TD-INT,18-32-223-1-0,24-34-278-5-0
Sacked-Yards,2-19,2-15
Net Pass Yards,204,263
Total Yards,287,448
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,4-40,2-54
Third Down Conv.,5-13,5-10
Fourth Down Conv.,2-2,1-1
Time of Possession,28:42,31:18
