Quarter,Time,Tm,Detail,DEN,DET
2.0,12:31,Lions,Sam LaPorta 19 yard pass from Jared Goff (Michael Badgley kick),0,7
,8:15,Lions,Jahmyr Gibbs 9 yard pass from Jared Goff (Michael Badgley kick),0,14
,0:19,Lions,Amon-Ra St. Brown 15 yard pass from Jared Goff (Michael Badgley kick),0,21
3.0,10:34,Broncos,Lil'Jordan Humphrey 3 yard pass from Russell Wilson (Wil Lutz kick),7,21
,6:57,Lions,Sam LaPorta 3 yard pass from Jared Goff (Michael Badgley kick),7,28
,0:43,Broncos,Wil Lutz 23 yard field goal,10,28
4.0,12:12,Lions,Jahmyr Gibbs 12 yard rush (Michael Badgley kick),10,35
,6:28,Broncos,Russell Wilson 1 yard rush (Wil Lutz kick),17,35
,2:21,Lions,Sam LaPorta 10 yard pass from Jared Goff (Michael Badgley kick),17,42
