Quarter,Time,Down,ToGo,Location,DAL,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss, Jaguars to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"Shaun Suisham kicks off 60 yards, returned by Kyle Brady for 9 yards (tackle by Kevin Burnett)",0.000,0.150
1,14:55,1,10,JAX 19,0,0,Byron Leftwich pass complete short right to Reggie Williams for 4 yards (tackle by Terence Newman),0.150,0.210
1,14:15,2,6,JAX 23,0,0,Byron Leftwich pass complete short left to George Wrighster for 13 yards (tackle by Pat Watkins),0.210,1.330
1,13:38,1,10,JAX 36,0,0,Fred Taylor left tackle for 6 yards (tackle by Anthony Henry),1.330,1.600
1,12:59,2,4,JAX 42,0,0,Byron Leftwich pass complete short left to George Wrighster for -1 yards (tackle by DeMarcus Ware),1.600,0.760
1,12:17,3,5,JAX 41,0,0,Byron Leftwich pass incomplete short left intended for Maurice Jones-Drew (defended by Kevin Burnett),0.760,-0.650
1,12:12,4,5,JAX 41,0,0,"Chris Hanson punts 36 yards, returned by Jamaica Rector for 7 yards (tackle by Joe Zelenka)",-0.650,-0.940
1,12:03,1,10,DAL 30,0,0,Drew Bledsoe pass complete short right to Terrell Owens for 13 yards (tackle by Deon Grant),0.940,1.800
1,11:22,1,10,DAL 43,0,0,Julius Jones right tackle for no gain (tackle by Mike Peterson),1.800,1.250
1,10:43,2,10,DAL 43,0,0,Drew Bledsoe pass complete short right to Terrell Owens for 8 yards (tackle by Donovin Darius),1.250,1.620
1,10:04,3,2,JAX 49,0,0,Drew Bledsoe pass complete short right to Terry Glenn for 10 yards (tackle by Rashean Mathis),1.620,2.980
1,9:36,1,10,JAX 39,0,0,Julius Jones left end for 1 yard (tackle by John Henderson),2.980,2.580
1,8:58,2,9,JAX 38,0,0,Drew Bledsoe pass incomplete short right intended for Terry Glenn (defended by Rashean Mathis),2.580,1.880
