Unnamed: 0,DAL,JAX
First Downs,14,22
Rush-Yds-TDs,22-88-1,32-78-2
Cmp-Att-Yd-TD-INT,16-33-246-1-3,23-34-237-1-1
Sacked-Yards,2-11,1-8
Net Pass Yards,235,229
Total Yards,323,307
Fumbles-Lost,0-0,1-0
Turnovers,3,1
Penalties-Yards,9-93,2-41
Third Down Conv.,6-15,5-13
Fourth Down Conv.,1-1,0-0
Time of Possession,25:48,34:12
