Quarter,Time,Down,ToGo,Location,WAS,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,WAS 30,0,0,"Shaun Suisham kicks off 64 yards, returned by Quintin Demps for 14 yards (tackle by Chris Wilson)",0.000,0.280
1,14:55,1,10,PHI 20,0,0,Donovan McNabb pass complete short right to Brian Westbrook for 17 yards (tackle by Rocky McIntosh),0.280,1.400
1,14:08,1,10,PHI 37,0,0,Brian Westbrook up the middle for 5 yards (tackle by Rocky McIntosh),1.400,1.530
1,13:23,2,5,PHI 42,0,0,Brian Westbrook right tackle for 3 yards (tackle by Rocky McIntosh),1.530,1.220
1,12:41,3,2,PHI 45,0,0,Donovan McNabb pass complete short right to L.J. Smith for 8 yards (tackle by Chris Horton),1.220,2.460
1,12:11,1,10,WAS 47,0,0,Donovan McNabb pass incomplete short middle intended for Brent Celek,2.460,1.910
1,12:05,2,10,WAS 47,0,0,Brian Westbrook left end for 5 yards (tackle by LaRon Landry),1.910,1.880
1,11:25,3,5,WAS 42,0,0,Reggie Brown left end for 6 yards (tackle by Chris Wilson),1.880,3.180
1,10:37,1,10,WAS 36,0,0,Donovan McNabb pass complete short middle to L.J. Smith for 11 yards (tackle by Chris Horton),3.180,3.910
1,9:55,1,10,WAS 25,0,0,DeSean Jackson left end for 8 yards (tackle by Chris Horton),3.910,4.550
1,9:08,2,2,WAS 17,0,0,Donovan McNabb pass incomplete deep left intended for L.J. Smith (defended by Rocky McIntosh),4.550,3.850
1,9:03,3,2,WAS 17,0,0,Donovan McNabb pass complete short left to DeSean Jackson for 8 yards (tackle by LaRon Landry),3.850,5.140
1,8:31,1,9,WAS 9,0,6,"Brian Westbrook up the middle for 9 yards, touchdown",5.140,7.000
1,,,,WAS 2,0,7,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,0,7,"David Akers kicks off 71 yards, returned by Rock Cartwright for 32 yards (tackle by Joselio Hanson)",0.000,1.000
1,8:19,1,10,WAS 31,0,7,Jason Campbell pass incomplete short right intended for Antwaan Randle El,1.000,0.460
1,8:14,2,10,WAS 31,0,7,Jason Campbell pass incomplete short left intended for Santana Moss (defended by Sheldon Brown),0.460,-0.230
1,8:09,3,10,WAS 31,0,7,Jason Campbell pass incomplete short middle intended for Antwaan Randle El,-0.230,-1.310
1,8:04,4,10,WAS 31,0,13,"Durant Brooks punts 37 yards, returned by DeSean Jackson for 68 yards, touchdown",-1.310,-7.000
1,,,,WAS 2,0,14,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,0,14,"David Akers kicks off 70 yards, touchback",0.000,0.280
1,7:47,1,10,WAS 20,0,14,Clinton Portis right tackle for 5 yards (tackle by Mike Patterson),0.280,0.410
1,7:15,2,5,WAS 25,0,14,Clinton Portis left guard for 7 yards (tackle by Quintin Mikell),0.410,1.070
1,6:41,1,10,WAS 32,0,14,Jason Campbell pass incomplete short right intended for Antwaan Randle El,1.070,0.530
1,6:37,2,10,WAS 32,0,14,Clinton Portis left end for 2 yards (tackle by Sheldon Brown),0.530,0.100
1,5:52,3,8,WAS 34,0,14,Jason Campbell up the middle for 2 yards (tackle by Juqua Parker),0.100,-0.980
1,5:13,4,6,WAS 36,0,14,"Durant Brooks punts 49 yards, fair catch by DeSean Jackson",-0.980,0.220
1,5:12,1,10,PHI 15,0,14,Donovan McNabb pass complete short left to Reggie Brown for 11 yards (tackle by Fred Smoot),-0.220,0.670
1,4:40,1,10,PHI 26,0,14,Brian Westbrook up the middle for 2 yards (tackle by H.B. Blades),0.670,0.400
1,4:01,2,8,PHI 28,0,14,"Donovan McNabb pass incomplete short right intended for L.J. Smith. Penalty on Rocky McIntosh: Defensive Pass Interference, 9 yards (no play)",0.400,1.400
1,3:57,1,10,PHI 37,0,14,Correll Buckhalter left end for -3 yards (tackle by Andre Carter),1.400,0.450
1,3:21,2,13,PHI 34,0,14,Donovan McNabb pass incomplete short right intended for Correll Buckhalter,0.450,-0.230
1,3:17,3,13,PHI 34,0,14,Donovan McNabb pass complete deep middle to Reggie Brown for 24 yards (tackle by Reed Doughty),-0.230,2.790
1,2:29,1,10,WAS 42,0,14,"Correll Buckhalter right end for no gain (tackle by Chris Horton). Penalty on WAS: Defensive 12 On-field, 5 yards (no play)",2.790,3.120
1,1:55,1,10,WAS 37,0,14,Donovan McNabb pass complete short right to Tony Hunt for 2 yards (tackle by London Fletcher),3.120,2.840
1,1:17,2,8,WAS 35,0,14,Correll Buckhalter left end for 3 yards (tackle by London Fletcher),2.840,2.540
1,0:32,3,5,WAS 32,0,14,Donovan McNabb pass incomplete short right intended for Greg Lewis,2.540,1.260
1,0:28,4,5,WAS 32,0,14,David Akers 50 yard field goal no good,1.260,-1.600
1,0:23,1,10,WAS 40,0,14,Jason Campbell pass incomplete short right intended for Chris Cooley (defended by Chris Gocong),1.600,1.050
1,0:18,2,10,WAS 40,0,14,Clinton Portis up the middle for 7 yards (tackle by Asante Samuel),1.050,1.290
Quarter,Time,Down,ToGo,Location,WAS,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,WAS 47,0,14,Jason Campbell pass complete short left to Chris Cooley for 6 yards (tackle by Brian Dawkins),1.290,2.460
2,14:24,1,10,PHI 47,0,14,Jason Campbell pass complete short left to Chris Cooley for 18 yards (tackle by Omar Gaither),2.460,3.640
2,13:45,1,10,PHI 29,0,14,Clinton Portis right end for 6 yards (tackle by Brian Dawkins),3.640,3.910
2,13:10,2,4,PHI 23,0,14,Clinton Portis right end for no gain (tackle by Stewart Bradley),3.910,3.200
