Quarter,Time,Tm,Detail,WAS,PHI
1.0,8:26,Eagles,Brian Westbrook 9 yard rush (David Akers kick),0,7
,7:47,Eagles,DeSean Jackson 68 yard punt return (David Akers kick),0,14
2.0,12:00,Redskins,Shaun Suisham 41 yard field goal,3,14
,1:56,Redskins,Shaun Suisham 48 yard field goal,6,14
,0:02,Redskins,Shaun Suisham 50 yard field goal,9,14
3.0,8:08,Redskins,Chris Cooley 18 yard pass from Antwaan Randle El (Shaun Suisham kick),16,14
4.0,14:54,Redskins,Clinton Portis 4 yard rush (Shaun Suisham kick),23,14
,7:18,Eagles,David Akers 23 yard field goal,23,17
