Unnamed: 0,WAS,PHI
First Downs,22,14
Rush-Yds-TDs,44-203-1,18-58-1
Cmp-Att-Yd-TD-INT,17-30-194-1-0,17-29-196-0-0
Sacked-Yards,1-9,0-0
Net Pass Yards,185,196
Total Yards,388,254
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,3-24,4-33
Third Down Conv.,11-19,5-12
Fourth Down Conv.,1-1,0-0
Time of Possession,34:45,25:15
