Unnamed: 0,ATL,SFO
First Downs,14,21
Rush-Yds-TDs,28-95-2,23-93-0
Cmp-Att-Yd-TD-INT,13-22-163-1-1,27-46-286-2-1
Sacked-Yards,4-31,3-20
Net Pass Yards,132,266
Total Yards,227,359
Fumbles-Lost,2-0,1-1
Turnovers,1,2
Penalties-Yards,7-72,10-57
Third Down Conv.,1-11,7-17
Fourth Down Conv.,1-1,1-1
Time of Possession,26:33,33:27
