Quarter,Time,Down,ToGo,Location,ATL,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Todd Peterson kicks off 71 yards, returned by Allen Rossum for 29 yards (tackle by Jamal Robertson)",0.000,0.810
1,14:54,1,10,ATL 28,0,0,Warrick Dunn up the middle for 7 yards (tackle by Derek Smith),0.810,1.210
1,14:19,2,3,ATL 35,0,0,Warrick Dunn left guard for 2 yards (tackle by Derek Smith),1.210,0.760
1,14:15,3,1,ATL 37,0,0,"Penalty on Kevin Shaffer: False Start, 5 yards (no play)",0.760,0.100
1,13:18,3,6,ATL 32,0,0,"Michael Vick sacked by Jamie Winborn for -13 yards. Michael Vick fumbles (forced by Jamie Winborn), recovered by Michael Vick at ATL-11",0.100,-2.490
1,13:00,4,27,ATL 11,0,0,Chris Mohr punts 9 yards,-2.490,-4.240
1,12:22,1,10,ATL 20,0,0,"Kevan Barlow up the middle for 4 yards (tackle by Jason Webster). Kevan Barlow fumbles (forced by Jason Webster), recovered by Cory Hall at ATL-13 (tackle by Kyle Kosier)",4.240,0.320
1,12:15,1,10,ATL 13,0,0,Warrick Dunn left tackle for 2 yards (tackle by Julian Peterson),-0.320,-0.570
1,12:10,2,8,ATL 15,0,0,Michael Vick pass complete to Justin Griffith for 2 yards (tackle by Ronnie Heard),-0.570,-0.940
1,11:53,3,6,ATL 17,0,0,"Penalty on Kevin Shaffer: False Start, 5 yards (no play)",-0.940,-1.540
1,10:35,3,11,ATL 12,0,0,Warrick Dunn left guard for 3 yards (tackle by Mike Rumph and John Engelberger),-1.540,-2.440
1,9:55,4,8,ATL 15,0,0,Chris Mohr punts 55 yards,-2.440,-0.940
1,9:47,1,10,SFO 30,0,0,Kevan Barlow right tackle for 2 yards (tackle by Kevin Mathis),0.940,0.660
1,9:13,2,8,SFO 32,0,0,Kevan Barlow left tackle for 1 yard (tackle by Brady Smith and Antwan Lake),0.660,0.100
1,8:36,3,7,SFO 33,0,0,Tim Rattay pass incomplete intended for Cedrick Wilson (defended by Patrick Kerney),0.100,-1.180
1,8:30,4,7,SFO 33,0,0,"Andy Lee punts 42 yards, returned by Allen Rossum for -1 yards (tackle by Arnaz Battle)",-1.180,-0.540
1,8:21,1,10,ATL 24,0,0,Warrick Dunn right end for 7 yards (tackle by Derek Smith),0.540,0.940
1,7:49,2,3,ATL 31,0,0,Michael Vick pass complete to Alge Crumpler for 22 yards (tackle by Julian Peterson),0.940,2.460
1,7:08,,,,0,0,Timeout #1 by Atlanta Falcons,0.000,2.460
1,7:08,1,10,SFO 47,0,0,Warrick Dunn right guard for 6 yards (tackle by Derek Smith and John Engelberger),2.460,2.720
1,6:28,2,4,SFO 41,0,0,Michael Vick for 3 yards (tackle by Ahmed Plummer),2.720,2.410
1,6:07,3,1,SFO 38,0,0,Warrick Dunn left guard for -1 yards (tackle by Bryant Young),2.410,0.660
1,5:25,4,2,SFO 39,0,0,Peerless Price left end for 16 yards (tackle by Tony Parrish),0.660,4.040
1,5:05,1,10,SFO 23,0,0,Warrick Dunn right guard for 8 yards (tackle by Tony Parrish),4.040,4.750
1,4:17,2,2,SFO 15,6,0,"Michael Vick pass complete to Alge Crumpler for 15 yards, touchdown",4.750,7.000
1,,,,SFO 2,7,0,Jay Feely kicks extra point good,0.000,0.000
1,,,,ATL 30,7,0,"Jay Feely kicks off 64 yards, returned by Arnaz Battle for 22 yards (tackle by Artie Ulmer)",0.000,0.810
1,4:05,1,10,SFO 28,7,0,Tim Rattay pass complete to Brandon Lloyd for 1 yard (tackle by Kevin Mathis),0.810,0.400
1,3:33,2,9,SFO 29,7,0,Tim Rattay pass incomplete intended for Kevan Barlow (defended by Patrick Kerney),0.400,-0.300
1,3:32,3,9,SFO 29,7,0,Tim Rattay pass complete to Cedrick Wilson for 14 yards (tackle by Bryan Scott),-0.300,1.800
1,2:57,1,10,SFO 43,7,0,Kevan Barlow up the middle for -2 yards (tackle by Brady Smith),1.800,0.980
1,2:16,2,12,SFO 41,7,0,Kevan Barlow right tackle for -1 yards (tackle by Kevin Mathis and Patrick Kerney),0.980,0.170
1,1:37,3,13,SFO 40,7,0,Tim Rattay pass incomplete intended for Brandon Lloyd (defended by Allen Rossum),0.170,-0.720
1,1:26,4,13,SFO 40,7,0,"Andy Lee punts 55 yards, returned by Allen Rossum for 3 yards (tackle by Arnaz Battle)",-0.720,0.380
1,1:22,1,10,ATL 8,7,0,Warrick Dunn up the middle for -1 yards (tackle by Julian Peterson),-0.380,-0.850
1,0:47,2,11,ATL 7,7,0,Warrick Dunn right guard for 3 yards (tackle by Anthony Adams),-0.850,-1.190
Quarter,Time,Down,ToGo,Location,ATL,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,ATL 10,7,0,Michael Vick pass complete to Brian Finneran for 16 yards (tackle by Ahmed Plummer),-1.190,0.670
2,14:19,1,10,ATL 26,7,0,Michael Vick left end for 3 yards (tackle by Ronnie Heard),0.670,0.540
2,13:43,2,7,ATL 29,7,0,Michael Vick pass complete to Alge Crumpler for 22 yards (tackle by Ahmed Plummer),0.540,2.320
2,13:11,1,10,SFO 49,7,0,Warrick Dunn left end for 3 yards (tackle by Derek Smith and Jimmy Williams),2.320,2.190
2,12:32,2,7,SFO 46,7,0,Michael Vick sacked by Jimmy Williams for -6 yards,2.190,0.700
2,12:05,3,13,ATL 48,7,0,Michael Vick pass incomplete intended for Brian Finneran (defended by Ahmed Plummer),0.700,-0.190
2,11:57,4,13,ATL 48,7,0,"Chris Mohr punts 45 yards, returned by Arnaz Battle for no gain. Penalty on Matt Stanley: Illegal Block Above the Waist, 2 yards",-0.190,0.380
2,11:49,1,10,SFO 2,7,0,Kevan Barlow up the middle for 3 yards (tackle by Cory Hall),-0.380,-0.560
2,11:19,2,7,SFO 5,7,0,Tim Rattay pass complete to Eric Johnson for 12 yards (tackle by Matt Stewart),-0.560,-0.060
2,10:36,1,10,SFO 17,7,0,Tim Rattay pass complete to Curtis Conway for 13 yards,-0.060,0.940
2,10:16,1,10,SFO 30,7,0,Tim Rattay pass incomplete intended for Brandon Lloyd (defended by Matt Stewart),0.940,0.390
