Quarter,Time,Tm,Detail,ATL,SFO
1.0,4:12,Falcons,Alge Crumpler 15 yard pass from Michael Vick (Jay Feely kick),7,0
2.0,6:17,Falcons,Warrick Dunn 2 yard rush (Jay Feely kick),14,0
,1:14,49ers,Todd Peterson 23 yard field goal,14,3
3.0,7:11,49ers,Todd Peterson 32 yard field goal,14,6
4.0,8:57,Falcons,Warrick Dunn 9 yard rush (Jay Feely kick),21,6
,6:14,49ers,Cedrick Wilson 8 yard pass from Tim Rattay (Todd Peterson kick),21,13
,0:40,49ers,Eric Johnson 16 yard pass from Tim Rattay (pass failed),21,19
