Quarter,Time,Down,ToGo,Location,OAK,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Joe Nedney kicks off 65 yards, returned by Jacoby Ford for 7 yards (tackle by C.J. Spillman)",0.000,-0.350
1,14:56,1,10,OAK 12,0,0,"Jason Campbell pass incomplete deep middle intended for Louis Murphy. Penalty on Shawntae Spencer: Defensive Pass Interfere, 46 yards (no play)",-0.350,2.790
1,14:48,1,10,SFO 42,0,0,Michael Bush left tackle for 5 yards (tackle by Nate Clements),2.790,2.920
1,14:17,2,5,SFO 37,0,0,Michael Bush right end for no gain (tackle by Isaac Sopoaga),2.920,2.210
1,13:37,3,5,SFO 37,0,0,Jason Campbell pass complete short middle to Michael Bush for 7 yards (tackle by Patrick Willis),2.210,3.580
1,12:58,1,10,SFO 30,0,0,Jason Campbell pass complete short left to Darrius Heyward-Bey for 4 yards (tackle by Shawntae Spencer),3.580,3.570
1,12:36,2,6,SFO 26,0,0,Michael Bush middle for 2 yards (tackle by Justin Smith),3.570,3.140
1,12:00,3,4,SFO 24,0,0,Michael Bush middle for 5 yards (tackle by Patrick Willis and Ray McDonald),3.140,4.310
1,10:42,1,10,SFO 19,0,0,Michael Bush middle for no gain (tackle by Manny Lawson),4.310,3.750
1,10:06,2,10,SFO 19,0,0,Jason Campbell right end for 2 yards (tackle by Takeo Spikes),3.750,3.260
1,9:20,3,8,SFO 17,0,0,Jason Campbell middle for 9 yards (tackle by Taylor Mays),3.260,5.370
1,8:40,1,8,SFO 8,0,0,"Jason Campbell pass complete short right to Louis Murphy for 4 yards (tackle by Nate Clements). Louis Murphy fumbles (forced by Nate Clements), recovered by Louis Murphy at SFO-4",5.370,5.340
1,7:54,2,4,SFO 4,0,0,"Michael Bush middle for no gain (tackle by Takeo Spikes). Penalty on Langston Walker: Illegal Formation, 5 yards (no play)",5.340,4.380
1,7:17,,,,0,0,Timeout #1 by Oakland Raiders,0.000,4.380
1,7:17,2,9,SFO 9,0,0,Jason Campbell pass incomplete short right intended for Louis Murphy,4.380,3.360
1,7:11,3,9,SFO 9,0,0,Jason Campbell pass incomplete short right intended for Marcel Reece,3.360,2.830
1,7:06,4,9,SFO 9,3,0,Sebastian Janikowski 27 yard field goal good,2.830,3.000
1,,,,OAK 30,3,0,"Sebastian Janikowski kicks off 62 yards, returned by Ted Ginn for 21 yards (tackle by Ricky Brown)",0.000,0.870
1,6:54,1,10,SFO 29,3,0,"Alex Smith pass incomplete deep right intended for Josh Morgan. Penalty on Lamarr Houston: Roughing the Passer, 15 yards (no play)",0.870,1.860
1,6:48,1,10,SFO 44,3,0,"Alex Smith right end for 3 yards (tackle by Tommy Kelly). Penalty on Richard Seymour: Defensive Offside, 5 yards (no play)",1.860,2.590
1,6:20,1,5,SFO 49,3,0,"Ted Ginn right end for 2 yards (tackle by Stanford Routt). Penalty on Josh Morgan: Offensive Holding, 10 yards",2.590,1.660
1,5:54,1,13,SFO 41,3,0,Frank Gore middle for 15 yards (tackle by Tyvon Branch and Michael Huff),1.660,2.650
1,5:09,1,10,OAK 44,3,0,Alex Smith pass incomplete short right intended for Frank Gore,2.650,2.110
1,5:02,2,10,OAK 44,3,0,Frank Gore middle for -3 yards (tackle by Tyvon Branch and Richard Seymour),2.110,1.030
1,4:17,3,13,OAK 47,3,0,Alex Smith pass incomplete short right intended for Frank Gore (defended by Rolando McClain),1.030,0.130
1,4:11,4,13,OAK 47,3,0,"Penalty on Ahmad Brooks: False Start, 5 yards (no play)",0.130,-0.190
1,4:11,4,18,SFO 48,3,0,"Andy Lee punts 43 yards, returned by Nick Miller for no gain",-0.190,0.380
1,4:02,1,10,OAK 9,3,0,Michael Bush middle for 4 yards (tackle by Justin Smith),-0.380,-0.480
1,3:27,2,6,OAK 13,3,0,Jason Campbell pass complete short right to Michael Bush for 5 yards (tackle by Travis LaBoy),-0.480,-0.370
1,2:44,3,1,OAK 18,3,0,Michael Bush middle for 2 yards (tackle by Aubrayo Franklin),-0.370,0.280
1,2:24,1,10,OAK 20,3,0,"Rock Cartwright middle for -3 yards (tackle by Isaac Sopoaga). Penalty on Dashon Goldson: Unnecessary Roughness, 15 yards",0.280,1.070
1,1:48,1,10,OAK 32,3,0,Michael Bush middle for 2 yards (tackle by Takeo Spikes),1.070,0.800
1,1:05,2,8,OAK 34,3,0,Jason Campbell pass complete short middle to Darrius Heyward-Bey for 8 yards (tackle by Will Peterson),0.800,1.730
