Quarter,Time,Tm,Detail,OAK,SFO
1.0,7:02,Raiders,Sebastian Janikowski 27 yard field goal,3,0
2.0,12:40,Raiders,Sebastian Janikowski 24 yard field goal,6,0
,0:08,49ers,Joe Nedney 25 yard field goal,6,3
3.0,0:00,49ers,Michael Crabtree 32 yard pass from Alex Smith (Joe Nedney kick),6,10
4.0,8:21,Raiders,Sebastian Janikowski 40 yard field goal,9,10
,7:14,49ers,Vernon Davis 17 yard pass from Alex Smith (Joe Nedney kick),9,17
