Unnamed: 0,OAK,SFO
First Downs,10,17
Rush-Yds-TDs,30-110-0,31-158-0
Cmp-Att-Yd-TD-INT,8-21-83-0-2,16-33-196-2-0
Sacked-Yards,2-14,2-5
Net Pass Yards,69,191
Total Yards,179,349
Fumbles-Lost,2-0,0-0
Turnovers,2,0
Penalties-Yards,8-60,11-143
Third Down Conv.,5-15,7-17
Fourth Down Conv.,0-0,0-0
Time of Possession,26:39,33:21
