Quarter,Time,Down,ToGo,Location,CAR,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Olindo Mare kicks off 72 yards, returned by Stefan Logan for 24 yards (tackle by Josh Vaughan)",0.000,-0.060
1,14:55,1,10,DET 17,0,0,Matthew Stafford pass incomplete deep right intended for Calvin Johnson (defended by Charles Godfrey),-0.060,-0.580
1,14:48,2,10,DET 17,0,0,Matthew Stafford pass incomplete deep left intended for Tony Scheffler,-0.580,-1.250
1,14:41,,,,0,0,Timeout #1 by Detroit Lions,0.000,-1.250
1,14:41,3,10,DET 17,0,0,Matthew Stafford pass incomplete short right intended for Titus Young is intercepted by James Anderson at DET-27,-1.250,-3.780
1,14:35,1,10,DET 27,0,0,DeAngelo Williams up the middle for 2 yards (tackle by Kyle Vanden Bosch),3.780,3.500
1,13:59,2,8,DET 25,0,0,Cam Newton pass incomplete short left intended for Steve Smith (defended by Eric Wright),3.500,2.810
1,13:54,3,8,DET 25,0,0,Cam Newton pass incomplete short left intended for Greg Olsen is intercepted by Eric Wright at DET-12 and returned for 8 yards (tackle by Steve Smith),2.810,-0.280
1,13:46,1,10,DET 20,0,0,Maurice Morris up the middle for 2 yards (tackle by James Anderson),0.280,0.000
1,13:11,2,8,DET 22,0,0,Maurice Morris up the middle for 1 yard (tackle by Greg Hardy and Terrell McClain),0.000,-0.560
1,12:29,3,7,DET 23,0,0,Matthew Stafford pass complete short right to Nate Burleson for 8 yards,-0.560,1.000
1,11:55,1,10,DET 31,0,0,Maurice Morris right end for -1 yards (tackle by Andre Neblett),1.000,0.320
1,11:16,2,11,DET 30,0,0,Matthew Stafford pass complete short left to Rashied Davis for 12 yards (tackle by Omar Gaither),0.320,1.730
1,10:34,1,10,DET 42,0,0,Matthew Stafford pass incomplete deep right intended for Calvin Johnson,1.730,1.190
