Unnamed: 0,CAR,DET
First Downs,24,29
Rush-Yds-TDs,26-137-2,29-169-2
Cmp-Att-Yd-TD-INT,22-38-280-1-4,28-36-335-5-2
Sacked-Yards,1-8,2-9
Net Pass Yards,272,326
Total Yards,409,495
Fumbles-Lost,0-0,1-1
Turnovers,4,3
Penalties-Yards,7-70,8-56
Third Down Conv.,3-10,6-11
Fourth Down Conv.,0-0,0-0
Time of Possession,26:53,33:07
