Quarter,Time,Tm,Detail,CAR,DET
1.0,3:55,Panthers,Olindo Mare 27 yard field goal,3,0
,0:35,Panthers,Steve Smith Sr. 15 yard pass from Cam Newton (Olindo Mare kick),10,0
2.0,14:04,Lions,Kevin Smith 28 yard pass from Matthew Stafford (Jason Hanson kick),10,7
,13:50,Panthers,Kealoha Pilares 101 yard kickoff return (Olindo Mare kick),17,7
,9:32,Panthers,Cam Newton 11 yard rush (Olindo Mare kick),24,7
,2:57,Lions,Titus Young 3 yard pass from Matthew Stafford (Jason Hanson kick),24,14
,0:00,Panthers,Olindo Mare 31 yard field goal,27,14
3.0,10:28,Lions,Nate Burleson 16 yard pass from Matthew Stafford (Jason Hanson kick),27,21
,5:57,Lions,Tony Scheffler 17 yard pass from Matthew Stafford (Jason Hanson kick),27,28
4.0,8:02,Lions,Kevin Smith 4 yard rush (Jason Hanson kick),27,35
,4:59,Panthers,Cam Newton 6 yard rush (Steve Smith Sr. pass from Cam Newton),35,35
,2:32,Lions,Brandon Pettigrew 7 yard pass from Matthew Stafford (Jason Hanson kick),35,42
,2:00,Lions,Kevin Smith 19 yard rush (Jason Hanson kick),35,49
