Quarter,Time,Tm,Detail,SDG,DEN
1.0,0:08,Chargers,LaDainian Tomlinson 3 yard rush (Nate Kaeding kick),7,0
2.0,8:17,Broncos,Mike Bell 3 yard rush (Jason Elam kick),7,7
,0:34,Broncos,Mike Bell 3 yard rush (Jason Elam kick),7,14
3.0,10:48,Broncos,Jason Elam 42 yard field goal,7,17
,9:25,Broncos,Darrent Williams 31 yard interception return (Jason Elam kick),7,24
,5:10,Chargers,LaDainian Tomlinson 3 yard rush (Nate Kaeding kick),14,24
,3:51,Chargers,LaDainian Tomlinson 51 yard pass from Philip Rivers (Nate Kaeding kick),21,24
4.0,11:13,Broncos,Jason Elam 38 yard field goal,21,27
,6:45,Chargers,Vincent Jackson 5 yard pass from Philip Rivers (Nate Kaeding kick),28,27
,1:14,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),35,27
