Unnamed: 0,SDG,DEN
First Downs,21,20
Rush-Yds-TDs,29-125-3,35-158-2
Cmp-Att-Yd-TD-INT,19-26-222-2-2,13-28-183-0-1
Sacked-Yards,1-5,2-15
Net Pass Yards,217,168
Total Yards,342,326
Fumbles-Lost,0-0,2-0
Turnovers,2,1
Penalties-Yards,5-35,6-60
Third Down Conv.,8-12,6-15
Fourth Down Conv.,0-0,2-3
Time of Possession,29:11,30:49
