Quarter,Time,Down,ToGo,Location,SDG,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Paul Ernster kicks off 73 yards, returned by Michael Turner for 25 yards (tackle by Curome Cox)",0.000,0.410
1,14:56,1,10,SDG 22,0,0,LaDainian Tomlinson left tackle for 6 yards (tackle by Darrent Williams and Al Wilson),0.410,0.680
1,14:14,2,4,SDG 28,0,0,LaDainian Tomlinson left tackle for 3 yards (tackle by Ebenezer Ekuban),0.680,0.370
1,13:36,3,1,SDG 31,0,0,Lorenzo Neal middle for 3 yards (tackle by Ebenezer Ekuban),0.370,1.200
1,12:54,1,10,SDG 34,0,0,"LaDainian Tomlinson left tackle for 5 yards (tackle by Nick Ferguson). Penalty on Nick Ferguson: Face Mask (5 Yards), 4 yards",1.200,2.520
1,12:35,1,1,SDG 43,0,0,Michael Turner left tackle for 3 yards (tackle by Michael Myers and Kenard Lang),2.520,1.990
1,11:55,1,10,SDG 46,0,0,Michael Turner middle for -1 yards (tackle by D.J. Williams and Al Wilson),1.990,1.320
1,11:14,2,11,SDG 45,0,0,LaDainian Tomlinson left guard for 2 yards (tackle by John Lynch),1.320,0.890
1,10:34,3,9,SDG 47,0,0,"Philip Rivers pass incomplete short right intended for Eric Parker. Penalty on Ian Gold: Defensive Offside, 5 yards (no play)",0.890,1.550
1,10:29,3,4,DEN 48,0,0,Philip Rivers pass complete short left to Keenan McCardell for 6 yards. Penalty on Gerard Warren: Defensive Offside (Declined),1.550,2.790
1,10:10,1,10,DEN 42,0,0,LaDainian Tomlinson middle for 1 yard (tackle by John Engelberger),2.790,2.380
1,9:31,2,9,DEN 41,0,0,Philip Rivers pass complete short left to Brandon Manumaleuna for 1 yard (tackle by Darrent Williams),2.380,1.820
1,8:48,3,8,DEN 40,0,0,Philip Rivers pass incomplete short middle intended for Vincent Jackson (defended by Champ Bailey),1.820,0.590
1,8:39,4,8,DEN 40,0,0,"Mike Scifres punts 31 yards, fair catch by David Kircus",0.590,0.380
1,8:34,1,10,DEN 9,0,0,Mike Bell left guard for 6 yards (tackle by Jamal Williams),-0.380,-0.280
1,7:56,2,4,DEN 15,0,0,Jake Plummer pass incomplete short right intended for Javon Walker,-0.280,-0.720
1,7:52,3,4,DEN 15,0,0,Jake Plummer pass incomplete short right intended for Javon Walker,-0.720,-2.440
1,7:47,4,4,DEN 15,0,0,"Paul Ernster punts 54 yards, returned by Eric Parker for 18 yards (tackle by Hamza Abdullah)",-2.440,-2.190
1,7:34,1,10,SDG 49,0,0,Philip Rivers pass incomplete short middle intended for Antonio Gates is intercepted by Nick Ferguson at DEN-42,2.190,-1.730
1,7:28,1,10,DEN 42,0,0,Jake Plummer pass incomplete (defended by Jamal Williams),1.730,1.190
1,7:24,2,10,DEN 42,0,0,Mike Bell right guard for 4 yards (tackle by Randall Godfrey),1.190,1.030
1,6:41,3,6,DEN 46,0,0,Jake Plummer pass incomplete short left intended for Mike Bell (defended by Terrence Kiel),1.030,-0.320
1,6:37,4,6,DEN 46,0,0,Paul Ernster punts 53 yards,-0.320,0.380
1,6:27,1,10,SDG 1,0,0,Lorenzo Neal left guard for 2 yards (tackle by Kenard Lang and Ian Gold),-0.380,-0.630
1,5:49,2,8,SDG 3,0,0,Philip Rivers pass complete short right to Lorenzo Neal for 5 yards (tackle by Ian Gold and Michael Myers),-0.630,-0.600
1,5:02,3,3,SDG 8,0,0,Philip Rivers pass complete short middle to LaDainian Tomlinson for 9 yards (tackle by Al Wilson),-0.600,-0.060
1,4:25,1,10,SDG 17,0,0,LaDainian Tomlinson left tackle for 3 yards (tackle by Ebenezer Ekuban),-0.060,-0.060
1,3:42,2,7,SDG 20,0,0,Philip Rivers pass complete short left to Eric Parker for 9 yards (tackle by John Lynch),-0.060,0.870
1,2:57,1,10,SDG 29,0,0,Philip Rivers pass complete deep middle to Vincent Jackson for 26 yards (tackle by Darrent Williams and John Lynch),0.870,2.590
1,2:18,1,10,DEN 45,0,0,LaDainian Tomlinson left tackle for 24 yards (tackle by Al Wilson),2.590,4.170
1,1:56,1,10,DEN 21,0,0,"Penalty on Nick Hardwick: False Start, 5 yards (no play)",4.170,3.840
1,1:42,1,15,DEN 26,0,0,Michael Turner left tackle for 11 yards (tackle by Nick Ferguson),3.840,4.550
1,1:20,2,4,DEN 15,0,0,LaDainian Tomlinson left guard for 2 yards (tackle by Ebenezer Ekuban),4.550,4.240
1,0:36,3,2,DEN 13,0,0,Philip Rivers pass complete short left to Eric Parker for 10 yards (tackle by Darrent Williams),4.240,6.510
1,0:13,1,3,DEN 3,6,0,"LaDainian Tomlinson left end for 3 yards, touchdown",6.510,7.000
1,,,,DEN 2,7,0,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,7,0,"Nate Kaeding kicks off 69 yards, returned by Mike Bell for 22 yards (tackle by Quentin Jammer). Penalty on Nate Jackson: Face Mask (15 Yards), 11 yards",0.000,-0.350
1,0:01,1,10,DEN 12,7,0,"Mike Bell right tackle for 6 yards (tackle by Terrence Kiel and Randall Godfrey). Penalty on Marques Harris: Defensive Offside, 5 yards (no play)",-0.350,0.280
1,0:00,1,5,DEN 17,7,0,Mike Bell middle for 6 yards (tackle by Randall Godfrey and Jamal Williams),0.280,0.480
Quarter,Time,Down,ToGo,Location,SDG,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 23,7,0,Jake Plummer sacked by Ryon Bingham for -1 yards,0.480,-0.200
2,14:24,2,11,DEN 22,7,0,Jake Plummer pass incomplete short middle intended for Brandon Marshall (defended by Terrence Kiel),-0.200,-0.890
2,14:19,3,11,DEN 22,7,0,Jake Plummer pass complete short left to Mike Bell for 13 yards (tackle by Terrence Kiel),-0.890,1.270
2,13:34,1,10,DEN 35,7,0,Damien Nash middle for 26 yards (tackle by Marques Harris),1.270,2.980
2,13:08,1,10,SDG 39,7,0,Damien Nash left tackle for 3 yards (tackle by Marques Harris and Donnie Edwards),2.980,2.850
2,12:27,2,7,SDG 36,7,0,Damien Nash left end for 3 yards (tackle by Jacques Cesaire and Donnie Edwards),2.850,2.540
2,11:42,3,4,SDG 33,7,0,Mike Bell right tackle for 5 yards (tackle by Randall Godfrey),2.540,3.710
2,11:00,1,10,SDG 28,7,0,Mike Bell middle for 3 yards (tackle by Randall Godfrey and Marques Harris),3.710,3.570
2,10:17,2,7,SDG 25,7,0,Jake Plummer pass complete short right to Javon Walker for 13 yards (tackle by Quentin Jammer),3.570,4.780
2,9:46,1,10,SDG 12,7,0,Kyle Johnson middle for 7 yards (tackle by Stephen Cooper),4.780,5.410
2,9:04,2,3,SDG 5,7,0,Mike Bell middle for 2 yards (tackle by Donnie Edwards and Ryon Bingham),5.410,5.060
2,8:21,3,1,SDG 3,7,6,"Mike Bell middle for 3 yards, touchdown",5.060,7.000
2,,,,SDG 2,7,7,Jason Elam kicks extra point good,0.000,0.000
2,,,,DEN 30,7,7,"Paul Ernster kicks off 71 yards, returned by Michael Turner for 37 yards (tackle by Brandon Marshall)",0.000,1.330
2,8:08,1,10,SDG 36,7,7,LaDainian Tomlinson right tackle for 7 yards (tackle by Kenard Lang and Curome Cox),1.330,1.740
2,7:34,2,3,SDG 43,7,7,LaDainian Tomlinson left guard for no gain (tackle by Ian Gold),1.740,1.030
2,6:49,3,3,SDG 43,7,7,Philip Rivers pass incomplete deep right intended for Vincent Jackson,1.030,-0.520
2,6:42,4,3,SDG 43,7,7,"Mike Scifres punts 41 yards, fair catch by Darrent Williams",-0.520,0.140
2,6:34,1,10,DEN 16,7,7,Mike Bell right tackle for 4 yards (tackle by Marques Harris and Jacques Cesaire),-0.140,0.010
2,5:54,2,6,DEN 20,7,7,Jake Plummer pass incomplete deep left intended for Javon Walker,0.010,-0.820
2,5:47,,,,7,7,Timeout #1 by Denver Broncos,0.000,-0.820
2,5:47,3,6,DEN 20,7,7,Jake Plummer pass incomplete deep left intended for Javon Walker,-0.820,-2.030
2,5:41,4,6,DEN 20,7,7,"Paul Ernster punts 39 yards, fair catch by Eric Parker",-2.030,-1.660
