Unnamed: 0,CIN,CLE
First Downs,17,18
Rush-Yds-TDs,29-80-0,22-69-0
Cmp-Att-Yd-TD-INT,23-31-215-3-0,23-36-280-2-1
Sacked-Yards,0-0,2-10
Net Pass Yards,215,270
Total Yards,295,339
Fumbles-Lost,0-0,3-0
Turnovers,0,1
Penalties-Yards,11-60,11-101
Third Down Conv.,9-15,5-11
Fourth Down Conv.,0-0,0-1
Time of Possession,29:47,30:13
