Unnamed: 0,CLE,NWE
First Downs,24,30
Rush-Yds-TDs,25-108-0,21-87-1
Cmp-Att-Yd-TD-INT,29-44-391-3-0,32-52-418-2-1
Sacked-Yards,1-5,4-21
Net Pass Yards,386,397
Total Yards,494,484
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,7-75,6-41
Third Down Conv.,7-15,6-15
Fourth Down Conv.,0-0,1-1
Time of Possession,31:40,28:20
