Quarter,Time,Tm,Detail,CLE,NWE
1.0,9:18,Browns,Billy Cundiff 43 yard field goal,3,0
2.0,14:45,Browns,Billy Cundiff 37 yard field goal,6,0
3.0,10:15,Browns,Gary Barnidge 40 yard pass from Jason Campbell (run failed),12,0
,1:37,Patriots,Stephen Gostkowski 33 yard field goal,12,3
,1:25,Browns,Josh Gordon 80 yard pass from Jason Campbell (Billy Cundiff kick),19,3
,0:06,Patriots,Shane Vereen 6 yard rush (Julian Edelman pass from Tom Brady),19,11
4.0,5:43,Patriots,Stephen Gostkowski 50 yard field goal,19,14
,2:39,Browns,Jordan Cameron 4 yard pass from Jason Campbell (Billy Cundiff kick),26,14
,1:01,Patriots,Julian Edelman 2 yard pass from Tom Brady (Stephen Gostkowski kick),26,21
,0:31,Patriots,Danny Amendola 1 yard pass from Tom Brady (run failed),26,27
