Unnamed: 0,ATL,SDG
First Downs,20,12
Rush-Yds-TDs,43-141-0,19-70-1
Cmp-Att-Yd-TD-INT,17-23-207-2-0,17-30-149-0-0
Sacked-Yards,0-0,3-18
Net Pass Yards,207,131
Total Yards,348,201
Fumbles-Lost,3-3,1-0
Turnovers,3,0
Penalties-Yards,2-20,9-84
Third Down Conv.,8-16,3-12
Fourth Down Conv.,1-2,1-2
Time of Possession,34:58,25:02
