Quarter,Time,Down,ToGo,Location,ATL,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,ATL 30,0,0,"Michael Koenen kicks off 69 yards, returned by Darren Sproles for 21 yards (tackle by Eric Weems)",0.000,0.410
1,14:56,1,10,SDG 22,0,0,LaDainian Tomlinson left end for no gain (tackle by Curtis Lofton),0.410,-0.130
1,14:22,2,10,SDG 22,0,0,Philip Rivers pass complete short middle to LaDainian Tomlinson for 11 yards (tackle by Curtis Lofton),-0.130,1.140
1,13:54,1,10,SDG 33,0,0,Philip Rivers pass incomplete short right intended for Antonio Gates,1.140,0.590
1,13:49,2,10,SDG 33,0,0,Philip Rivers pass complete short left to Jacob Hester for 8 yards (tackle by Chris Houston),0.590,0.960
1,13:20,3,2,SDG 41,0,0,Philip Rivers pass complete short left to Malcom Floyd for 8 yards (tackle by Chris Houston),0.960,2.190
1,12:45,1,10,SDG 49,0,0,Philip Rivers pass complete short left to Antonio Gates for 10 yards (tackle by Lawyer Milloy and Keith Brooking),2.190,2.850
1,11:55,1,10,ATL 41,0,0,LaDainian Tomlinson for 1 yard (tackle by Keith Brooking),2.850,2.440
1,11:29,2,9,ATL 40,0,0,Philip Rivers pass incomplete short right intended for Antonio Gates,2.440,1.750
1,11:25,3,9,ATL 40,0,0,Philip Rivers pass complete short left to Antonio Gates for 6 yards (tackle by Erik Coleman),1.750,1.090
1,10:38,4,3,ATL 34,0,0,Philip Rivers pass incomplete short right intended for Antonio Gates (defended by Jonathan Babineaux),1.090,-1.200
1,10:34,1,10,ATL 34,0,0,Michael Turner middle for 4 yards (tackle by Igor Olshansky and Tim Dobbins),1.200,1.200
1,9:54,2,6,ATL 38,0,0,Matt Ryan pass complete short middle to Roddy White for 19 yards (tackle by Eric Weddle),1.200,2.720
1,9:24,1,10,SDG 43,0,0,Michael Turner right end for 2 yards (tackle by Jamal Williams),2.720,2.450
1,8:48,2,8,SDG 41,0,0,Matt Ryan pass incomplete short left intended for Michael Jenkins,2.450,1.750
1,8:41,3,8,SDG 41,0,0,Matt Ryan pass complete short left to Roddy White for 9 yards (tackle by Antoine Cason),1.750,3.450
1,8:03,1,10,SDG 32,0,0,Matt Ryan pass complete short right to Justin Peelle for 11 yards (tackle by Eric Weddle and Tim Dobbins),3.450,4.170
1,7:18,1,10,SDG 21,0,0,Michael Turner right tackle for no gain (tackle by Stephen Cooper and Jacques Cesaire),4.170,3.630
1,6:35,2,10,SDG 21,0,0,Matt Ryan pass complete short left to Harry Douglas for 4 yards (tackle by Eric Weddle),3.630,3.460
1,6:05,2,10,SDG 21,0,0,Timeout #1 by Atlanta Falcons,3.630,3.460
1,6:05,3,6,SDG 17,0,0,Matt Ryan pass incomplete deep right intended for Michael Jenkins,3.460,2.340
1,5:59,4,6,SDG 17,3,0,Jason Elam 35 yard field goal good,2.340,3.000
1,5:59,,,ATL 30,3,0,"Michael Koenen kicks off 70 yards, touchback",0.000,0.280
1,5:56,1,10,SDG 20,3,0,Philip Rivers pass complete short right to Jacob Hester for 9 yards (tackle by Lawyer Milloy and Keith Brooking),0.280,0.950
1,5:20,2,1,SDG 29,3,0,LaDainian Tomlinson middle for 2 yards (tackle by Kindal Moorehead),0.950,1.000
1,4:44,1,10,SDG 31,3,0,LaDainian Tomlinson left guard for no gain (tackle by Kroy Biermann),1.000,0.460
1,4:12,2,10,SDG 31,3,0,Philip Rivers pass complete short left to Jacob Hester for 2 yards (tackle by Keith Brooking),0.460,0.040
1,3:28,3,8,SDG 33,3,0,Philip Rivers pass incomplete deep right intended for Malcom Floyd,0.040,-1.180
1,3:22,4,8,SDG 33,3,0,"Mike Scifres punts 49 yards, muffed catch by Harry Douglas, recovered by Anthony Waters and returned for no gain",-1.180,4.240
1,3:09,1,10,ATL 20,3,0,LaDainian Tomlinson right end for 2 yards (tackle by Keith Brooking),4.240,3.960
1,2:43,2,8,ATL 18,3,0,Philip Rivers pass complete short middle to LaDainian Tomlinson for 15 yards (tackle by Curtis Lofton and Erik Coleman),3.960,6.510
1,1:52,1,3,ATL 3,3,0,Philip Rivers pass incomplete short right intended for Antonio Gates,6.510,5.530
1,1:45,2,3,ATL 3,3,6,"LaDainian Tomlinson right tackle for 3 yards, touchdown",5.530,7.000
1,1:45,,,ATL 2,3,7,Nate Kaeding kicks extra point good,0.000,0.000
1,1:45,,,SDG 30,3,7,"Nate Kaeding kicks off 53 yards, returned by Eric Weems for 19 yards (tackle by Marques Harris)",0.000,1.330
1,1:34,1,10,ATL 36,3,7,Matt Ryan pass complete deep right to Roddy White for 38 yards (tackle by Quentin Jammer),1.330,3.840
1,1:20,1,10,SDG 26,3,7,Matt Ryan pass incomplete deep middle intended for Roddy White,3.840,3.300
1,1:15,2,10,SDG 26,3,7,"Penalty on Justin Peelle: False Start, 5 yards (no play)",3.300,2.620
1,1:15,2,15,SDG 31,3,7,Jason Snelling left end for 1 yard (tackle by Matt Wilhelm),2.620,2.080
1,0:33,3,14,SDG 30,3,7,Matt Ryan pass complete short right to Jerious Norwood for 8 yards (tackle by Stephen Cooper),2.080,2.020
1,0:01,4,6,SDG 22,6,7,Jason Elam 40 yard field goal good,2.020,3.000
Quarter,Time,Down,ToGo,Location,ATL,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,,,,ATL 30,6,7,"Michael Koenen kicks off 70 yards, returned by Darren Sproles for 21 yards (tackle by Ovie Mughelli)",0.000,0.340
2,14:55,1,10,SDG 21,6,7,LaDainian Tomlinson middle for 2 yards (tackle by Keith Brooking),0.340,0.070
2,14:21,2,8,SDG 23,6,7,"Penalty on Mike Goff: False Start, 5 yards (no play)",0.070,-0.700
2,14:02,2,13,SDG 18,6,7,Philip Rivers right end for 10 yards (tackle by Chevis Jackson),-0.700,0.040
2,13:15,3,3,SDG 28,6,7,Philip Rivers pass incomplete short left intended for Chris Chambers,0.040,-1.500
2,13:08,4,3,SDG 28,6,7,"Mike Scifres punts 50 yards, returned by Harry Douglas for 32 yards (tackle by Mike Scifres)",-1.500,-2.520
2,12:55,1,10,SDG 46,6,7,Michael Turner left end for 8 yards (tackle by Shaun Phillips and Jyles Tucker),2.520,3.060
2,12:24,2,2,SDG 38,6,7,Michael Turner right tackle for 1 yard (tackle by Stephen Cooper),3.060,2.480
2,11:41,3,1,SDG 37,6,7,Michael Turner left end for 8 yards (tackle by Tim Dobbins),2.480,3.640
2,10:54,1,10,SDG 29,6,7,Matt Ryan pass incomplete short right intended for Justin Peelle,3.640,3.100
2,10:49,2,10,SDG 29,6,7,Jerious Norwood for 5 yards (tackle by Jyles Tucker and Tim Dobbins),3.100,3.070
2,10:30,3,5,SDG 24,6,7,Matt Ryan pass complete short right to Harry Douglas for 4 yards (tackle by Antoine Cason),3.070,2.270
2,9:59,4,1,SDG 20,6,7,Ovie Mughelli middle for 2 yards (tackle by Clinton Hart),2.270,4.370
2,9:32,1,10,SDG 18,12,7,"Matt Ryan pass complete deep middle to Justin Peelle for 18 yards, touchdown",4.370,7.000
2,9:32,,,SDG 2,13,7,Jason Elam kicks extra point good,0.000,0.000
2,9:32,,,ATL 30,13,7,--,0.000,-0.380
2,9:17,1,10,SDG 8,13,7,"Penalty on Jeromey Clary: False Start, 4 yards (no play)",-0.380,-0.530
2,9:17,1,14,SDG 4,13,7,LaDainian Tomlinson middle for -3 yards (tackle by Kindal Moorehead and Lawyer Milloy),-0.530,-1.290
2,8:38,2,17,SDG 1,13,7,LaDainian Tomlinson left end for 4 yards (tackle by Curtis Lofton and Erik Coleman),-1.290,-1.770
2,8:00,3,13,SDG 5,15,7,"Philip Rivers pass incomplete, safety. Penalty on Philip Rivers: Intentional Grounding, 5 yards",-1.770,-2.000
2,8:00,3,13,SDG 5,15,7,--,-1.770,0.000
2,8:00,,,SDG 20,15,7,"Mike Scifres kicks off 60 yards, returned by Harry Douglas for 14 yards (tackle by Legedu Naanee)",0.000,1.200
2,7:49,1,10,ATL 34,15,7,Michael Turner right end for 11 yards (tackle by Eric Weddle),1.200,1.930
2,7:08,1,10,ATL 45,15,7,Michael Turner right end for 9 yards (tackle by Quentin Jammer),1.930,2.600
