Unnamed: 0,ATL,TAM
First Downs,13,16
Rush-Yds-TDs,28-163-0,31-132-2
Cmp-Att-Yd-TD-INT,13-30-115-0-3,13-21-131-1-1
Sacked-Yards,5-23,3-16
Net Pass Yards,92,115
Total Yards,255,247
Fumbles-Lost,2-2,1-0
Turnovers,5,1
Penalties-Yards,7-50,3-32
Third Down Conv.,5-14,4-11
Fourth Down Conv.,0-2,0-0
Time of Possession,30:28,29:32
