Quarter,Time,Down,ToGo,Location,DAL,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,WAS 30,0,0,"John Hall kicks off 55 yards, returned by Zuriel Smith for 11 yards (tackle by Bryan Johnson)",0.000,0.670
1,14:56,1,10,DAL 26,0,0,Quincy Carter pass complete to Richie Anderson for 8 yards (tackle by Champ Bailey),0.670,1.210
1,14:23,2,2,DAL 34,0,0,Troy Hambrick right end for -2 yards (tackle by Lional Dalton),1.210,0.230
1,13:41,3,4,DAL 32,0,0,Quincy Carter pass complete to Terry Glenn for 14 yards (tackle by Jessie Armstead),0.230,1.990
1,13:02,1,10,DAL 46,0,0,Quincy Carter pass incomplete intended for Terry Glenn,1.990,1.450
1,12:49,2,10,DAL 46,0,0,Troy Hambrick left end for 12 yards (tackle by Matt Bowen),1.450,2.790
1,12:09,,,,0,0,Timeout #1 by Washington Redskins,0.000,2.790
1,12:09,1,10,WAS 42,0,0,Quincy Carter up the middle for 5 yards (tackle by Jeremiah Trotter),2.790,2.920
1,11:31,2,5,WAS 37,0,0,Troy Hambrick left tackle for 15 yards (tackle by Matt Bowen),2.920,4.110
1,10:49,1,10,WAS 22,0,0,Richie Anderson left guard for 4 yards (tackle by Jeremiah Trotter),4.110,4.130
1,10:09,2,6,WAS 18,0,0,Quincy Carter sacked by Jessie Armstead for -3 yards,4.130,3.010
1,9:35,3,9,WAS 21,6,0,"Quincy Carter pass complete to Richie Anderson for 21 yards, touchdown",3.010,7.000
1,,,,WAS 2,7,0,Billy Cundiff kicks extra point good,0.000,0.000
1,,,,DAL 30,7,0,"Toby Gowin kicks off 56 yards, returned by Patrick Johnson for 24 yards (tackle by Pete Hunter)",0.000,1.470
1,9:20,1,10,WAS 38,7,0,Tim Hasselbeck pass complete to Zeron Flemister for 10 yards (tackle by Terence Newman),1.470,2.130
1,8:52,1,10,WAS 48,7,0,Rock Cartwright right guard for 2 yards (tackle by Greg Ellis),2.130,1.850
1,8:22,2,8,WAS 50,7,0,Rock Cartwright left guard for 6 yards (tackle by Dexter Coakley and La'Roi Glover),1.850,1.950
1,7:37,3,2,DAL 44,7,0,Tim Hasselbeck pass incomplete intended for Darnerien McCants,1.950,0.330
1,7:32,4,2,DAL 44,7,0,"Bryan Barker punts 44 yards, touchback",0.330,-0.280
1,7:21,1,10,DAL 20,7,0,Quincy Carter pass incomplete intended for Joey Galloway (defended by Champ Bailey),0.280,-0.270
1,7:16,2,10,DAL 20,7,0,Troy Hambrick right guard for 8 yards (tackle by Matt Bowen),-0.270,0.100
1,6:38,3,2,DAL 28,7,0,Troy Hambrick right guard for 1 yard (tackle by LaVar Arrington and Renaldo Wynn),0.100,-1.440
1,5:58,4,1,DAL 29,7,0,Toby Gowin punts 35 yards,-1.440,-1.330
1,5:43,1,10,WAS 36,7,0,Rock Cartwright left end for 5 yards (tackle by Darren Woodson),1.330,1.470
1,5:14,2,5,WAS 41,7,0,Rock Cartwright left tackle for 4 yards (tackle by Dexter Coakley),1.470,1.290
1,4:43,3,1,WAS 45,7,0,Rock Cartwright up the middle for no gain (tackle by Randal Williams),1.290,-0.390
1,4:09,4,1,WAS 45,7,0,"Bryan Barker punts 33 yards, fair catch by Zuriel Smith",-0.390,-0.410
1,3:59,1,10,DAL 22,7,0,Quincy Carter pass incomplete intended for Joey Galloway,0.410,-0.130
1,3:54,2,10,DAL 22,7,0,Troy Hambrick left tackle for 2 yards (tackle by Bernard Holsey),-0.130,-0.560
1,3:16,3,8,DAL 24,7,0,Quincy Carter pass incomplete intended for Richie Anderson,-0.560,-1.770
1,3:05,4,8,DAL 24,7,0,"Toby Gowin punts 35 yards, muffed catch by Chad Morton, recovered by Pete Hunter and returned for no gain",-1.770,2.850
1,2:55,1,10,WAS 41,7,0,Troy Hambrick for 2 yards (tackle by LaVar Arrington),2.850,2.580
1,2:19,2,8,WAS 39,7,0,Quincy Carter sacked by Jeremiah Trotter for -1 yards,2.580,1.750
1,1:31,3,9,WAS 40,7,0,"Penalty on DAL: Delay of Game, 5 yards (no play)",1.750,1.090
1,1:10,3,14,WAS 45,7,0,Quincy Carter pass complete to Richie Anderson for 11 yards (tackle by Fred Smoot),1.090,1.090
1,0:31,,,,7,0,Timeout #1 by Dallas Cowboys,0.000,1.090
1,0:31,4,3,WAS 34,7,0,Quincy Carter pass incomplete intended for Jason Witten,1.090,-1.200
1,0:27,1,10,WAS 34,7,0,Rock Cartwright right guard for 13 yards (tackle by Alshermond Singleton),1.200,2.060
Quarter,Time,Down,ToGo,Location,DAL,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,WAS 47,7,0,"Penalty on Rod Gardner: False Start, 5 yards (no play)",2.060,1.730
2,15:00,1,15,WAS 42,7,0,Rock Cartwright up the middle for 6 yards (tackle by Leonardo Carson),1.730,1.650
2,14:27,2,9,WAS 48,7,0,"Tim Hasselbeck pass incomplete is intercepted by Darren Woodson at DAL-22. Penalty on Dexter Coakley: Illegal Contact, 5 yards (no play)",1.650,2.460
2,14:08,1,10,DAL 47,7,0,Rock Cartwright right guard for 3 yards (tackle by Dat Nguyen and Terence Newman),2.460,2.320
2,13:38,2,7,DAL 44,7,0,Tim Hasselbeck pass incomplete intended for Rod Gardner (defended by Randal Williams),2.320,1.620
2,13:25,3,7,DAL 44,7,0,Tim Hasselbeck pass incomplete intended for Darnerien McCants (defended by Pete Hunter),1.620,0.330
2,13:18,4,7,DAL 44,7,0,Bryan Barker punts 29 yards,0.330,0.220
2,13:08,1,10,DAL 15,7,0,Quincy Carter pass incomplete intended for Terry Glenn,-0.220,-0.710
2,13:03,2,10,DAL 15,7,0,Quincy Carter pass incomplete intended for Joey Galloway,-0.710,-1.370
2,12:56,3,10,DAL 15,7,0,Quincy Carter pass incomplete intended for Terry Glenn,-1.370,-2.440
,,,,,,,"WAS challenged the ruling, and the original play was overturned.",,
2,12:20,4,10,DAL 15,7,0,"Toby Gowin punts 43 yards, fair catch by Chad Morton",-2.440,-1.730
2,12:13,1,10,WAS 42,7,0,Chad Morton up the middle for 5 yards (tackle by Dat Nguyen and La'Roi Glover),1.730,1.860
2,11:49,2,5,WAS 47,7,0,Chad Morton left tackle for 3 yards (tackle by Dexter Coakley),1.860,1.550
2,11:12,3,2,WAS 50,7,0,Tim Hasselbeck pass incomplete intended for Bryan Johnson,1.550,-0.060
2,11:03,4,2,WAS 50,7,0,Bryan Barker pass complete to Ifeanyi Ohalete for 3 yards (tackle by Bradie James),-0.060,2.460
2,10:18,1,10,DAL 47,7,0,"Penalty on WAS: Delay of Game, 5 yards (no play)",2.460,2.130
2,9:54,1,15,WAS 48,7,0,Rock Cartwright up the middle for 5 yards (tackle by Dat Nguyen),2.130,1.910
2,9:24,2,10,DAL 47,7,0,Tim Hasselbeck pass complete to Rod Gardner for 7 yards,1.910,2.150
