Unnamed: 0,DAL,WAS
First Downs,16,8
Rush-Yds-TDs,45-222-2,26-106-0
Cmp-Att-Yd-TD-INT,10-24-108-1-0,7-27-59-0-4
Sacked-Yards,3-4,1-4
Net Pass Yards,104,55
Total Yards,326,161
Fumbles-Lost,4-1,2-2
Turnovers,1,6
Penalties-Yards,2-10,4-35
Third Down Conv.,7-18,3-14
Fourth Down Conv.,0-1,2-2
Time of Possession,36:59,23:01
