Unnamed: 0,MIN,SFO
First Downs,17,23
Rush-Yds-TDs,18-67-1,39-208-3
Cmp-Att-Yd-TD-INT,21-33-262-2-1,17-26-230-1-1
Sacked-Yards,1-6,2-15
Net Pass Yards,256,215
Total Yards,323,423
Fumbles-Lost,2-1,0-0
Turnovers,2,1
Penalties-Yards,5-38,5-57
Third Down Conv.,2-8,5-12
Fourth Down Conv.,1-3,0-0
Time of Possession,22:53,37:07
