Quarter,Time,Tm,Detail,MIN,SFO
1.0,8:27,Vikings,Adam Thielen 2 yard pass from Kirk Cousins (Greg Joseph kick),7,0
,5:31,49ers,Deebo Samuel 20 yard rush (Robbie Gould kick),7,7
2.0,12:42,Vikings,Adam Thielen 20 yard pass from Kirk Cousins (Greg Joseph kick),14,7
,0:18,49ers,Jauan Jennings 3 yard pass from Jimmy Garoppolo (Robbie Gould kick),14,14
3.0,11:31,49ers,Deebo Samuel 3 yard rush (Robbie Gould kick),14,21
,11:09,49ers,Elijah Mitchell 2 yard rush (Robbie Gould kick),14,28
,8:28,Vikings,Alexander Mattison 6 yard rush (Greg Joseph kick failed),20,28
,4:58,49ers,Robbie Gould 46 yard field goal,20,31
,4:46,Vikings,Kene Nwangwu 99 yard kickoff return (pass failed),26,31
,0:09,49ers,Robbie Gould 22 yard field goal,26,34
