Quarter,Time,Down,ToGo,Location,MIN,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Mitch Wishnowsky kicks off 64 yards, returned by Kene Nwangwu for 21 yards (tackle by Mitch Wishnowsky)",,
1,14:53,1,10,MIN 22,0,0,Kirk Cousins pass incomplete short left intended for Justin Jefferson (defended by Samson Ebukam),,
1,14:50,2,10,MIN 22,0,0,Dalvin Cook right guard for 4 yards (tackle by Arik Armstead),,
1,14:23,3,6,MIN 26,0,0,Kirk Cousins pass incomplete deep middle intended for Justin Jefferson,,
1,14:16,4,6,MIN 26,0,0,"Jordan Berry punts 45 yards, fair catch by Brandon Aiyuk at SF-29",,
1,14:10,1,10,SFO 29,0,0,Elijah Mitchell left tackle for 4 yards (tackle by Anthony Barr),,
1,13:39,2,6,SFO 33,0,0,Jimmy Garoppolo pass incomplete deep middle intended for Deebo Samuel,,
1,13:34,3,6,SFO 33,0,0,Jimmy Garoppolo pass complete deep middle to Jauan Jennings for 21 yards (tackle by Bashaud Breeland and Harrison Smith),,
1,12:52,1,10,MIN 46,0,0,Jimmy Garoppolo pass incomplete short right intended for Brandon Aiyuk,,
1,12:49,2,10,MIN 46,0,0,"Penalty on Brandon Aiyuk: False Start, 5 yards (accepted) (no play)",,
1,12:49,2,15,SFO 49,0,0,Elijah Mitchell right guard for 3 yards (tackle by Eric Kendricks and Anthony Barr),,
1,12:09,3,12,MIN 48,0,0,Jimmy Garoppolo pass intended for Deebo Samuel is intercepted by Harrison Smith at MIN-41 and returned for 10 yards (tackle by Tom Compton),,
1,12:00,1,10,SFO 50,0,0,Kirk Cousins pass complete short left to Dalvin Cook for 2 yards (tackle by Azeez Al-Shaair),,
1,11:41,2,7,SFO 47,0,0,Kirk Cousins pass complete short right to Dalvin Cook for 11 yards (tackle by Azeez Al-Shaair and D.J. Jones),,
1,11:02,1,10,SFO 36,0,0,Alexander Mattison left tackle for 1 yard (tackle by D.J. Jones),,
1,10:30,2,9,SFO 35,0,0,Kirk Cousins pass complete deep left to Adam Thielen for 29 yards (tackle by Josh Norman),,
1,9:52,1,6,SFO 6,0,0,Dalvin Cook up the middle for 3 yards (tackle by Nick Bosa),,
1,9:15,2,3,SFO 3,0,0,Dalvin Cook up the middle for 1 yard (tackle by Azeez Al-Shaair and Dre Greenlaw),,
1,8:39,3,2,SFO 2,0,0,Kirk Cousins pass incomplete short middle intended for Justin Jefferson,,
1,8:32,,,,,,Timeout #1 by San Francisco 49ers,,
1,8:32,4,2,SFO 2,6,0,"Kirk Cousins pass complete to Adam Thielen for 2 yards, touchdown",,
1,8:27,,,SFO 15,7,0,Greg Joseph kicks extra point good,,
1,8:27,,,MIN 35,7,0,"Greg Joseph kicks off 65 yards, touchback.",,
1,8:27,1,10,SFO 25,7,0,Deebo Samuel left end for -3 yards (tackle by Patrick Peterson),,
