Unnamed: 0,STL,TAM
First Downs,19,17
Rush-Yds-TDs,32-161-0,21-124-0
Cmp-Att-Yd-TD-INT,13-26-126-2-0,23-40-212-1-0
Sacked-Yards,1-2,3-23
Net Pass Yards,124,189
Total Yards,285,313
Fumbles-Lost,1-1,2-0
Turnovers,1,0
Penalties-Yards,6-45,12-92
Third Down Conv.,7-14,5-15
Fourth Down Conv.,0-0,2-2
Time of Possession,28:41,31:19
