Quarter,Time,Tm,Detail,STL,TAM
1.0,5:45,Buccaneers,Connor Barth 35 yard field goal,0,3
2.0,14:55,Rams,Josh Brown 25 yard field goal,3,3
,8:22,Rams,Danny Amendola 5 yard pass from Sam Bradford (Josh Brown kick),10,3
,2:59,Rams,Michael Hoomanawanui 2 yard pass from Sam Bradford (Josh Brown kick),17,3
,0:24,Buccaneers,Connor Barth 39 yard field goal,17,6
3.0,7:13,Buccaneers,Connor Barth 53 yard field goal,17,9
,0:02,Buccaneers,Connor Barth 38 yard field goal,17,12
4.0,0:10,Buccaneers,Cadillac Williams 1 yard pass from Josh Freeman (run failed),17,18
