Unnamed: 0,SFO,NYG
First Downs,20,21
Rush-Yds-TDs,18-103-0,31-140-1
Cmp-Att-Yd-TD-INT,23-38-209-2-2,18-32-146-2-1
Sacked-Yards,6-45,1-7
Net Pass Yards,164,139
Total Yards,267,279
Fumbles-Lost,3-2,0-0
Turnovers,4,1
Penalties-Yards,13-82,8-67
Third Down Conv.,4-13,7-13
Fourth Down Conv.,2-2,0-0
Time of Possession,28:42,31:18
