Quarter,Time,Tm,Detail,SFO,NYG
1.0,7:47,Giants,Amani Toomer 4 yard pass from Eli Manning (Lawrence Tynes kick failed),0,6
2.0,9:50,49ers,Arnaz Battle 17 yard pass from Trent Dilfer (Joe Nedney kick),7,6
,6:15,Giants,Brandon Jacobs 5 yard rush (Lawrence Tynes kick),7,13
,2:50,Giants,Lawrence Tynes 29 yard field goal,7,16
,0:17,Giants,Lawrence Tynes 39 yard field goal,7,19
3.0,12:53,Giants,Osi Umenyiora 75 yard defensive fumble return (Lawrence Tynes kick),7,26
,8:51,49ers,"Safety,",9,26
4.0,10:50,Giants,Jeremy Shockey 2 yard pass from Eli Manning (Lawrence Tynes kick),9,33
,0:16,49ers,Darrell Jackson 1 yard pass from Trent Dilfer (pass failed),15,33
