Quarter,Time,Down,ToGo,Location,SFO,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Joe Nedney kicks off 71 yards, returned by Reuben Droughns for 18 yards (tackle by Maurice Hicks)",0.000,-0.060
1,14:56,1,10,NYG 17,0,0,Eli Manning pass complete short right to Jeremy Shockey for 14 yards (tackle by Patrick Willis),-0.060,1.000
1,14:22,1,10,NYG 31,0,0,Eli Manning pass complete short right to Plaxico Burress for 4 yards (tackle by Brandon T. Moore),1.000,1.000
1,13:54,2,6,NYG 35,0,0,Brandon Jacobs right guard for 9 yards (tackle by Marques Douglas),1.000,1.860
1,13:14,1,10,NYG 44,0,0,Brandon Jacobs left guard for 4 yards (tackle by Derek Smith),1.860,1.860
1,12:36,2,6,NYG 48,0,0,Eli Manning pass incomplete short right intended for Derrick Ward,1.860,1.160
1,12:25,3,6,NYG 48,0,0,"Penalty on Patrick Willis: Encroachment, 5 yards (no play)",1.160,1.820
1,12:25,3,1,SFO 47,0,0,Eli Manning pass complete short left to Plaxico Burress for 9 yards (tackle by Nate Clements),1.820,3.050
1,11:49,1,10,SFO 38,0,0,Brandon Jacobs left end for 5 yards (tackle by Nate Clements and Mark Roman),3.050,3.180
1,11:10,2,5,SFO 33,0,0,"Penalty on Ray McDonald: Encroachment, 4 yards (no play)",3.180,3.720
1,10:42,2,1,SFO 29,0,0,Brandon Jacobs right tackle for 11 yards (tackle by Shawntae Spencer and Dashon Goldson),3.720,4.370
1,10:04,1,10,SFO 18,0,0,Eli Manning pass complete short middle to Brandon Jacobs for 9 yards (tackle by Nate Clements),4.370,5.420
1,9:25,2,1,SFO 9,0,0,Brandon Jacobs left guard for 2 yards (tackle by Marques Douglas and Aubrayo Franklin),5.420,5.600
1,8:41,1,7,SFO 7,0,0,Eli Manning pass incomplete short right intended for Derrick Ward,5.600,4.760
1,8:30,2,7,SFO 7,0,0,Derrick Ward up the middle for 3 yards (tackle by Patrick Willis),4.760,4.490
1,7:55,3,4,SFO 4,0,6,"Eli Manning pass complete short right to Amani Toomer for 4 yards, touchdown",4.490,7.000
1,,,,SFO 2,0,6,Lawrence Tynes kicks extra point no good,0.000,-1.000
1,,,,NYG 30,0,6,"Lawrence Tynes kicks off 67 yards, returned by Maurice Hicks for 10 yards, lateral to Michael Robinson for 4 yards (tackle by James Butler)",0.000,-0.060
1,7:41,1,10,SFO 17,0,6,Frank Gore right end for 6 yards (tackle by Mathias Kiwanuka),-0.060,0.350
1,7:09,2,4,SFO 23,0,6,Trent Dilfer sacked by Michael Strahan for -9 yards,0.350,-1.720
1,6:30,3,13,SFO 14,0,6,Trent Dilfer pass incomplete short right intended for Arnaz Battle,-1.720,-2.470
1,6:23,4,13,SFO 14,0,6,"Andy Lee punts 56 yards, returned by R.W. McQuarters for 12 yards (tackle by Parys Haralson)",-2.470,-1.730
1,6:10,1,10,NYG 42,0,6,Brandon Jacobs left tackle for 8 yards (tackle by Parys Haralson and Derek Smith),1.730,2.270
1,5:34,2,2,,0,6,Eli Manning pass incomplete short left intended for Brandon Jacobs,2.270,1.550
1,5:25,3,2,,0,6,Derrick Ward right tackle for 2 yards (tackle by Patrick Willis and Parys Haralson),1.550,2.390
1,4:46,1,10,SFO 48,0,6,Derrick Ward right guard for 6 yards (tackle by Derek Smith and Isaac Sopoaga),2.390,2.660
1,4:06,2,4,SFO 42,0,6,Brandon Jacobs left end for 11 yards (tackle by Walt Harris),2.660,3.510
1,3:38,1,10,SFO 31,0,6,Eli Manning pass complete short right to Brandon Jacobs for 5 yards (tackle by Ray McDonald),3.510,3.640
1,2:57,2,5,SFO 26,0,6,Eli Manning pass complete short right to Jeremy Shockey for 4 yards (tackle by Michael Lewis),3.640,3.470
1,2:13,3,1,SFO 22,0,6,Reuben Droughns right tackle for 2 yards (tackle by Patrick Willis),3.470,4.240
1,1:30,1,10,SFO 20,0,6,Eli Manning pass incomplete short left intended for Derrick Ward is intercepted by Derek Smith at SFO-15 and returned for 4 yards (tackle by Rich Seubert),4.240,-0.150
1,1:15,1,10,SFO 19,0,6,Trent Dilfer pass complete short middle to Arnaz Battle for 16 yards (tackle by James Butler),0.150,1.270
1,0:45,1,10,SFO 35,0,6,Trent Dilfer pass incomplete short right intended for Darrell Jackson,1.270,0.720
