Unnamed: 0,NYG,WAS
First Downs,17,18
Rush-Yds-TDs,13-33-0,37-105-1
Cmp-Att-Yd-TD-INT,26-51-321-2-3,20-29-302-1-0
Sacked-Yards,3-22,0-0
Net Pass Yards,299,302
Total Yards,332,407
Fumbles-Lost,3-0,1-0
Turnovers,3,0
Penalties-Yards,4-35,7-80
Third Down Conv.,3-15,4-15
Fourth Down Conv.,2-2,1-2
Time of Possession,24:00,36:00
