Unnamed: 0,MIN,CHI
First Downs,28,20
Rush-Yds-TDs,32-155-3,22-53-1
Cmp-Att-Yd-TD-INT,25-40-298-2-4,21-32-283-2-0
Sacked-Yards,2-14,2-9
Net Pass Yards,284,274
Total Yards,439,327
Fumbles-Lost,2-1,2-1
Turnovers,5,1
Penalties-Yards,8-50,5-45
Third Down Conv.,4-12,2-9
Fourth Down Conv.,3-4,0-0
Time of Possession,35:07,24:53
