Quarter,Time,Tm,Detail,PIT,TEN
1.0,14:45,Steelers,Hines Ward 72 yard pass from Tommy Maddox (Todd Peterson kick),7,0
,12:12,Titans,Kevin Dyson 1 yard pass from Steve McNair (Joe Nedney kick),7,7
2.0,2:55,Titans,Eddie George 4 yard rush (Joe Nedney kick),7,14
3.0,3:48,Titans,Kevin Dyson 9 yard pass from Steve McNair (Joe Nedney kick),7,21
,0:28,Titans,Eddie George 5 yard rush (Joe Nedney kick),7,28
4.0,8:06,Titans,Joe Nedney 43 yard field goal,7,31
,3:25,Steelers,Terance Mathis 4 yard pass from Kordell Stewart (Dan Kreider pass from Kordell Stewart),15,31
,1:28,Steelers,Hines Ward 4 yard pass from Kordell Stewart (Hines Ward pass from Antwaan Randle El),23,31
