Unnamed: 0,CIN,SEA
First Downs,18,20
Rush-Yds-TDs,27-92-0,20-61-1
Cmp-Att-Yd-TD-INT,18-29-168-2-2,25-47-375-0-1
Sacked-Yards,1-8,4-25
Net Pass Yards,160,350
Total Yards,252,411
Fumbles-Lost,0-0,1-1
Turnovers,2,2
Penalties-Yards,7-65,11-80
Third Down Conv.,6-14,5-15
Fourth Down Conv.,0-0,1-2
Time of Possession,31:27,28:33
