Quarter,Time,Down,ToGo,Location,CIN,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Steven Hauschka kicks off 62 yards, returned by Brandon Tate for 23 yards (tackle by Heath Farwell)",0.000,0.670
1,14:53,1,10,CIN 26,0,0,Bernard Scott left end for 1 yard (tackle by Brandon Mebane),0.670,0.270
1,14:22,2,9,CIN 27,0,0,Bernard Scott right tackle for 3 yards (tackle by Chris Clemons),0.270,-0.030
1,13:42,3,6,CIN 30,0,0,Andy Dalton pass complete short left to Andre Caldwell for 8 yards (tackle by David Hawthorne),-0.030,1.470
1,13:05,1,10,CIN 38,0,0,"Andy Dalton pass complete short right to Brian Leonard for no gain. Penalty on Andrew Whitworth: Offensive Holding, 10 yards (no play)",1.470,0.810
1,12:28,,,,0,0,Timeout #1 by Cincinnati Bengals,0.000,0.810
1,12:28,1,20,CIN 28,0,0,"Penalty on Brandon Browner: Unnecessary Roughness, 15 yards (no play)",0.810,1.800
1,12:28,1,10,CIN 43,0,0,"Penalty on Chris Clemons: Neutral Zone Infraction, 5 yards (no play)",1.800,2.530
1,12:28,1,5,CIN 48,0,0,Andy Dalton pass complete short right to Chris Pressley for 6 yards (tackle by Richard Sherman),2.530,2.520
1,11:50,1,10,SEA 46,0,0,Bernard Scott left tackle for 11 yards (tackle by Brandon Browner),2.520,3.250
1,11:24,1,10,SEA 35,0,0,Bernard Scott right end for 4 yards (tackle by LeRoy Hill),3.250,3.240
1,10:46,2,6,SEA 31,0,0,Bernard Scott left tackle for 1 yard (tackle by K.J. Wright),3.240,2.680
1,10:04,3,5,SEA 30,0,0,Andy Dalton pass complete short right to Brian Leonard for 6 yards (tackle by Earl Thomas and Richard Sherman),2.680,3.970
1,9:16,1,10,SEA 24,0,0,Bernard Scott left end for -2 yards (tackle by LeRoy Hill),3.970,3.160
1,8:33,2,12,SEA 26,0,0,"Penalty on Andre Smith: False Start, 5 yards (no play)",3.160,2.490
1,8:07,2,17,SEA 31,0,0,Andy Dalton pass complete short right to Andre Caldwell for 10 yards (tackle by Kam Chancellor),2.490,3.140
1,7:29,3,7,SEA 21,0,0,Andy Dalton pass complete short right to A.J. Green for 5 yards (tackle by Richard Sherman),3.140,2.500
1,6:48,4,2,SEA 16,3,0,Mike Nugent 34 yard field goal good,2.500,3.000
1,,,,CIN 35,3,0,"Mike Nugent kicks off 69 yards, returned by Leon Washington for 20 yards (tackle by Jeromy Miles)",0.000,-0.140
1,6:39,1,10,SEA 16,3,0,Marshawn Lynch left tackle for 2 yards (tackle by Brandon Johnson),-0.140,-0.350
1,6:17,2,8,SEA 18,3,0,Charlie Whitehurst pass complete short right to Sidney Rice for 7 yards (tackle by Nate Clements),-0.350,-0.200
1,5:46,3,1,SEA 25,3,0,Charlie Whitehurst sacked by Geno Atkins for -1 yards,-0.200,-1.770
1,5:18,4,2,SEA 24,3,0,"Jon Ryan punts 65 yards, returned by Adam Jones for 63 yards (tackle by Jon Ryan)",-1.770,-3.840
1,4:59,1,10,SEA 26,3,0,Bernard Scott left tackle for 9 yards (tackle by Kam Chancellor and Earl Thomas),3.840,4.640
1,4:28,2,1,SEA 17,3,0,Bernard Scott left end for 3 yards (tackle by LeRoy Hill),4.640,4.650
1,3:52,1,10,SEA 14,9,0,"Andy Dalton pass complete short middle to Jerome Simpson for 14 yards, touchdown",4.650,7.000
1,,,,SEA 2,10,0,Mike Nugent kicks extra point good,0.000,0.000
1,,,,CIN 35,10,0,"Mike Nugent kicks off 69 yards, returned by Leon Washington for 25 yards (tackle by Cedric Peerman)",0.000,0.340
1,3:41,1,10,SEA 21,10,0,Charlie Whitehurst pass incomplete deep middle intended for Sidney Rice (defended by Reggie Nelson),0.340,-0.200
1,3:34,2,10,SEA 21,10,0,"Marshawn Lynch middle for no gain (tackle by Brandon Johnson and Carlos Dunlap). Penalty on Reggie Nelson: Unnecessary Roughness, 15 yards",-0.200,1.330
1,3:02,1,10,SEA 36,10,0,Marshawn Lynch right guard for -1 yards (tackle by Manny Lawson),1.330,0.660
1,2:27,2,11,SEA 35,10,0,Charlie Whitehurst pass complete deep left to Zach Miller for 17 yards (tackle by Chris Crocker),0.660,2.390
1,2:04,1,10,CIN 48,10,0,Charlie Whitehurst pass complete short right to Sidney Rice for 15 yards (tackle by Nate Clements),2.390,3.380
1,1:28,1,10,CIN 33,10,0,Charlie Whitehurst sacked by Chris Crocker for -5 yards,3.380,2.160
1,1:02,2,15,CIN 38,10,0,Leon Washington left tackle for 6 yards (tackle by Dan Skuta and Carlos Dunlap),2.160,2.280
1,0:23,3,9,CIN 32,10,0,"Charlie Whitehurst pass incomplete deep right intended for Sidney Rice. Penalty on James Carpenter: Offensive Holding, 10 yards (no play)",2.280,0.960
1,0:14,3,19,CIN 42,10,0,Charlie Whitehurst pass complete short right to Ben Obomanu for 13 yards (tackle by Kelly Jennings),0.960,1.520
Quarter,Time,Down,ToGo,Location,CIN,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,6,CIN 29,10,3,Steven Hauschka 47 yard field goal good,1.520,3.000
2,,,,SEA 35,10,3,"Steven Hauschka kicks off 69 yards, returned by Brandon Tate for 18 yards (tackle by Heath Farwell)",0.000,-0.280
2,14:51,1,10,CIN 14,10,3,Andy Dalton pass incomplete,-0.280,-0.750
2,14:42,2,10,CIN 14,10,3,Brian Leonard left tackle for 3 yards (tackle by Kam Chancellor),-0.750,-1.040
2,14:11,3,7,CIN 17,10,3,Andy Dalton right end for 3 yards (tackle by David Hawthorne),-1.040,-2.030
2,13:45,4,4,CIN 20,10,3,"Kevin Huber punts 59 yards, returned by Leon Washington for 14 yards (tackle by Manny Lawson)",-2.030,-1.270
2,13:33,1,10,SEA 35,10,3,Charlie Whitehurst right guard for 1 yard (tackle by Domata Peko),1.270,0.860
2,13:09,2,9,SEA 36,10,3,Marshawn Lynch middle for 2 yards (tackle by Domata Peko),0.860,0.430
2,12:44,3,7,SEA 38,10,3,Charlie Whitehurst pass incomplete short left intended for Sidney Rice,0.430,-0.850
2,12:40,4,7,SEA 38,10,3,"Jon Ryan punts 46 yards, returned by Brandon Tate for 8 yards (tackle by Michael Robinson)",-0.850,-0.540
2,12:29,1,10,CIN 24,10,3,Bernard Scott left end for no gain (tackle by Brandon Mebane and Clinton McDonald),0.540,0.000
2,11:50,2,10,CIN 24,10,3,Andy Dalton pass complete short middle to Donald Lee for 4 yards (tackle by David Hawthorne),0.000,-0.160
